Calculando QTLINK..;Data;Cota
ABSOLUTE VERTEX FIC MULTIMERCADO;25/03/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;26/03/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;27/03/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;30/03/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;31/03/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;01/04/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;02/04/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;06/04/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;07/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;08/04/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;09/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;10/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;13/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;14/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;15/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;16/04/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;17/04/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;20/04/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;22/04/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;23/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;24/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;27/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;28/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;29/04/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;30/04/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;04/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;05/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;06/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;07/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;08/05/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;11/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;12/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;13/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;14/05/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;15/05/2015;1,00
ABSOLUTE VERTEX FIC MULTIMERCADO;18/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;19/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;20/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;21/05/2015;1,01
ABSOLUTE VERTEX FIC MULTIMERCADO;22/05/2015;1,02
ABSOLUTE VERTEX FIC MULTIMERCADO;25/05/2015;1,02
ABSOLUTE VERTEX FIC MULTIMERCADO;26/05/2015;1,03
ABSOLUTE VERTEX FIC MULTIMERCADO;27/05/2015;1,03
ABSOLUTE VERTEX FIC MULTIMERCADO;28/05/2015;1,03
