Nome do Ativo;Data;Cota/Preço de Fechamento Ajustados
CDI;30/12/1996;100,09
CDI;31/12/1996;100,17
CDI;02/01/1997;100,25
CDI;03/01/1997;100,33
CDI;06/01/1997;100,41
CDI;07/01/1997;100,48
CDI;08/01/1997;100,56
CDI;09/01/1997;100,64
CDI;10/01/1997;100,72
CDI;13/01/1997;100,79
CDI;14/01/1997;100,87
CDI;15/01/1997;100,95
CDI;16/01/1997;101,03
CDI;17/01/1997;101,11
CDI;20/01/1997;101,19
CDI;21/01/1997;101,27
CDI;22/01/1997;101,34
CDI;23/01/1997;101,42
CDI;24/01/1997;101,50
CDI;27/01/1997;101,58
CDI;28/01/1997;101,66
CDI;29/01/1997;101,74
CDI;30/01/1997;101,82
CDI;31/01/1997;101,90
CDI;03/02/1997;102,00
CDI;04/02/1997;102,09
CDI;05/02/1997;102,18
CDI;06/02/1997;102,28
CDI;07/02/1997;102,37
CDI;12/02/1997;102,47
CDI;13/02/1997;102,56
CDI;14/02/1997;102,66
CDI;17/02/1997;102,75
CDI;18/02/1997;102,85
CDI;19/02/1997;102,94
CDI;20/02/1997;103,04
CDI;21/02/1997;103,13
CDI;24/02/1997;103,23
CDI;25/02/1997;103,32
CDI;26/02/1997;103,42
CDI;27/02/1997;103,51
CDI;28/02/1997;103,60
CDI;03/03/1997;103,69
CDI;04/03/1997;103,78
CDI;05/03/1997;103,87
CDI;06/03/1997;103,96
CDI;07/03/1997;104,04
CDI;10/03/1997;104,13
CDI;11/03/1997;104,22
CDI;12/03/1997;104,31
CDI;13/03/1997;104,40
CDI;14/03/1997;104,49
CDI;17/03/1997;104,58
CDI;18/03/1997;104,67
CDI;19/03/1997;104,76
CDI;20/03/1997;104,85
CDI;21/03/1997;104,94
CDI;24/03/1997;105,03
CDI;25/03/1997;105,12
CDI;26/03/1997;105,21
CDI;31/03/1997;105,30
CDI;01/04/1997;105,38
CDI;02/04/1997;105,46
CDI;03/04/1997;105,54
CDI;04/04/1997;105,62
CDI;07/04/1997;105,70
CDI;08/04/1997;105,78
CDI;09/04/1997;105,86
CDI;10/04/1997;105,95
CDI;11/04/1997;106,03
CDI;14/04/1997;106,12
CDI;15/04/1997;106,21
CDI;16/04/1997;106,29
CDI;17/04/1997;106,38
CDI;18/04/1997;106,47
CDI;22/04/1997;106,55
CDI;23/04/1997;106,63
CDI;24/04/1997;106,71
CDI;25/04/1997;106,79
