"";"Data";"Nome do Ativo";"Cota";"CDI";"var_36M";"var_ano";"var_mes";"cdi_36M";"cdi_ano";"cdi_mes";"excess_var_36M";"excess_var_ano";"excess_var_mes"
"1";2007-10-01;"IHFA";984,08;703,269589;NA;-78,53;-79,37;NA;-74,28;-76,82;NA;-4,25;-2,55000000000001
"2";2007-10-02;"IHFA";984,05;703,563909;NA;-78,53;-79,37;NA;-74,27;-76,81;NA;-4,26000000000001;-2,56
"3";2007-10-03;"IHFA";983,49;703,858352;NA;-78,54;-79,38;NA;-74,26;-76,8;NA;-4,28;-2,58
"4";2007-10-04;"IHFA";983,59;704,152667;NA;-78,54;-79,38;NA;-74,25;-76,79;NA;-4,29000000000001;-2,58999999999999
"5";2007-10-05;"IHFA";985,1;704,447105;NA;-78,51;-79,35;NA;-74,24;-76,78;NA;-4,27000000000001;-2,56999999999999
"6";2007-10-08;"IHFA";984,89;704,741666;NA;-78,51;-79,35;NA;-74,23;-76,77;NA;-4,28;-2,58
"7";2007-10-09;"IHFA";985,83;705,03635;NA;-78,49;-79,33;NA;-74,21;-76,76;NA;-4,28;-2,56999999999999
"8";2007-10-10;"IHFA";985,37;705,331158;NA;-78,5;-79,34;NA;-74,2;-76,75;NA;-4,3;-2,59
"9";2007-10-11;"IHFA";986,97;705,626088;NA;-78,47;-79,31;NA;-74,19;-76,74;NA;-4,28;-2,57000000000001
"10";2007-10-15;"IHFA";985,19;705,921142;NA;-78,51;-79,34;NA;-74,18;-76,73;NA;-4,33;-2,61
"11";2007-10-16;"IHFA";983,52;706,216572;NA;-78,54;-79,38;NA;-74,17;-76,72;NA;-4,37;-2,66
"12";2007-10-17;"IHFA";984,73;706,512125;NA;-78,52;-79,35;NA;-74,16;-76,71;NA;-4,36;-2,64
"13";2007-10-18;"IHFA";984,88;706,807045;NA;-78,51;-79,35;NA;-74,15;-76,7;NA;-4,36;-2,64999999999999
"14";2007-10-19;"IHFA";985,8;707,10234;NA;-78,49;-79,33;NA;-74,14;-76,7;NA;-4,34999999999999;-2,63
"15";2007-10-22;"IHFA";983,17;707,398011;NA;-78,55;-79,39;NA;-74,13;-76,69;NA;-4,42;-2,7
"16";2007-10-23;"IHFA";985,75;707,694059;NA;-78,49;-79,33;NA;-74,12;-76,68;NA;-4,36999999999999;-2,64999999999999
"17";2007-10-24;"IHFA";985,08;707,989978;NA;-78,51;-79,35;NA;-74,11;-76,67;NA;-4,40000000000001;-2,67999999999999
"18";2007-10-25;"IHFA";985,75;708,286273;NA;-78,49;-79,33;NA;-74,1;-76,66;NA;-4,39;-2,67
"19";2007-10-26;"IHFA";988,96;708,582693;NA;-78,42;-79,27;NA;-74,08;-76,65;NA;-4,34;-2,61999999999999
"20";2007-10-29;"IHFA";991,65;708,878983;NA;-78,37;-79,21;NA;-74,07;-76,64;NA;-4,30000000000001;-2,56999999999999
"21";2007-10-30;"IHFA";991,56;709,17565;NA;-78,37;-79,21;NA;-74,06;-76,63;NA;-4,31;-2,58
"22";2007-10-31;"IHFA";992,4;709,472189;NA;-78,35;-79,19;NA;-74,05;-76,62;NA;-4,3;-2,56999999999999
