"";"Nome do Ativo";"Data";"Cota";"var_12M";"var_ano";"var_mes"
"1";"CDI";1996-12-30;100,085333;NA;-96,34;-96,7
"2";"CDI";1996-12-31;100,168738;NA;-96,34;-96,7
"3";"CDI";1997-01-02;100,252212;NA;-96,33;-96,7
"4";"CDI";1997-01-03;100,32974;NA;-96,33;-96,69
"5";"CDI";1997-01-06;100,406994;NA;-96,33;-96,69
"6";"CDI";1997-01-07;100,484307;NA;-96,32;-96,69
"7";"CDI";1997-01-08;100,56168;NA;-96,32;-96,69
"8";"CDI";1997-01-09;100,639113;NA;-96,32;-96,68
"9";"CDI";1997-01-10;100,716605;NA;-96,32;-96,68
"10";"CDI";1997-01-13;100,794828;NA;-96,31;-96,68
"11";"CDI";1997-01-14;100,873112;NA;-96,31;-96,68
"12";"CDI";1997-01-15;100,951457;NA;-96,31;-96,67
"13";"CDI";1997-01-16;101,029863;NA;-96,31;-96,67
"14";"CDI";1997-01-17;101,108329;NA;-96,3;-96,67
"15";"CDI";1997-01-20;101,187194;NA;-96,3;-96,67
"16";"CDI";1997-01-21;101,26612;NA;-96,3;-96,66
"17";"CDI";1997-01-22;101,34477;NA;-96,29;-96,66
"18";"CDI";1997-01-23;101,423481;NA;-96,29;-96,66
"19";"CDI";1997-01-24;101,502591;NA;-96,29;-96,65
"20";"CDI";1997-01-27;101,582101;NA;-96,28;-96,65
"21";"CDI";1997-01-28;101,661335;NA;-96,28;-96,65
"22";"CDI";1997-01-29;101,741987;NA;-96,28;-96,65
"23";"CDI";1997-01-30;101,821345;NA;-96,28;-96,64
"24";"CDI";1997-01-31;101,903821;NA;-96,27;-96,64
"25";"CDI";1997-02-03;101,997233;NA;-96,27;-96,64
"26";"CDI";1997-02-04;102,09073;NA;-96,27;-96,64
"27";"CDI";1997-02-05;102,184994;NA;-96,26;-96,63
"28";"CDI";1997-02-06;102,279004;NA;-96,26;-96,63
"29";"CDI";1997-02-07;102,373442;NA;-96,26;-96,63
"30";"CDI";1997-02-12;102,467966;NA;-96,25;-96,62
"31";"CDI";1997-02-13;102,562579;NA;-96,25;-96,62
"32";"CDI";1997-02-14;102,657962;NA;-96,25;-96,62
"33";"CDI";1997-02-17;102,753434;NA;-96,24;-96,61
"34";"CDI";1997-02-18;102,848309;NA;-96,24;-96,61
"35";"CDI";1997-02-19;102,943273;NA;-96,24;-96,61
"36";"CDI";1997-02-20;103,03798;NA;-96,23;-96,6
"37";"CDI";1997-02-21;103,132432;NA;-96,23;-96,6
"38";"CDI";1997-02-24;103,22697;NA;-96,22;-96,6
"39";"CDI";1997-02-25;103,321251;NA;-96,22;-96,59
"40";"CDI";1997-02-26;103,415273;NA;-96,22;-96,59
"41";"CDI";1997-02-27;103,509036;NA;-96,21;-96,59
"42";"CDI";1997-02-28;103,602539;NA;-96,21;-96,59
"43";"CDI";1997-03-03;103,690947;NA;-96,21;-96,58
"44";"CDI";1997-03-04;103,779775;NA;-96,2;-96,58
"45";"CDI";1997-03-05;103,867988;NA;-96,2;-96,58
"46";"CDI";1997-03-06;103,956276;NA;-96,2;-96,57
"47";"CDI";1997-03-07;104,044985;NA;-96,19;-96,57
"48";"CDI";1997-03-10;104,134117;NA;-96,19;-96,57
"49";"CDI";1997-03-11;104,222978;NA;-96,19;-96,56
"50";"CDI";1997-03-12;104,312263;NA;-96,18;-96,56
"51";"CDI";1997-03-13;104,401276;NA;-96,18;-96,56
"52";"CDI";1997-03-14;104,490713;NA;-96,18;-96,56
"53";"CDI";1997-03-17;104,580227;NA;-96,18;-96,55
"54";"CDI";1997-03-18;104,669817;NA;-96,17;-96,55
"55";"CDI";1997-03-19;104,759484;NA;-96,17;-96,55
"56";"CDI";1997-03-20;104,848879;NA;-96,17;-96,54
"57";"CDI";1997-03-21;104,93835;NA;-96,16;-96,54
"58";"CDI";1997-03-24;105,027897;NA;-96,16;-96,54
"59";"CDI";1997-03-25;105,117521;NA;-96,16;-96,54
"60";"CDI";1997-03-26;105,207221;NA;-96,15;-96,53
"61";"CDI";1997-03-31;105,296998;NA;-96,15;-96,53
"62";"CDI";1997-04-01;105,376673;NA;-96,15;-96,53
"63";"CDI";1997-04-02;105,456408;NA;-96,14;-96,52
"64";"CDI";1997-04-03;105,536203;NA;-96,14;-96,52
"65";"CDI";1997-04-04;105,616059;NA;-96,14;-96,52
"66";"CDI";1997-04-07;105,696679;NA;-96,13;-96,52
"67";"CDI";1997-04-08;105,778418;NA;-96,13;-96,51
"68";"CDI";1997-04-09;105,863393;NA;-96,13;-96,51
"69";"CDI";1997-04-10;105,946673;NA;-96,13;-96,51
"70";"CDI";1997-04-11;106,033196;NA;-96,12;-96,51
"71";"CDI";1997-04-14;106,120496;NA;-96,12;-96,5
"72";"CDI";1997-04-15;106,207515;NA;-96,12;-96,5
"73";"CDI";1997-04-16;106,291773;NA;-96,11;-96,5
"74";"CDI";1997-04-17;106,377515;NA;-96,11;-96,49
"75";"CDI";1997-04-18;106,465099;NA;-96,11;-96,49
"76";"CDI";1997-04-22;106,548852;NA;-96,1;-96,49
"77";"CDI";1997-04-23;106,630895;NA;-96,1;-96,49
"78";"CDI";1997-04-24;106,711934;NA;-96,1;-96,48
"79";"CDI";1997-04-25;106,792679;NA;-96,09;-96,48
"80";"CDI";1997-04-28;106,873842;NA;-96,09;-96,48
"81";"CDI";1997-04-29;106,955422;NA;-96,09;-96,47
"82";"CDI";1997-04-30;107,037065;NA;-96,09;-96,47
"83";"CDI";1997-05-02;107,121981;NA;-96,08;-96,47
"84";"CDI";1997-05-05;107,20625;NA;-96,08;-96,47
"85";"CDI";1997-05-06;107,290228;NA;-96,08;-96,46
"86";"CDI";1997-05-07;107,37463;NA;-96,07;-96,46
"87";"CDI";1997-05-08;107,459098;NA;-96,07;-96,46
"88";"CDI";1997-05-09;107,543633;NA;-96,07;-96,46
"89";"CDI";1997-05-12;107,628951;NA;-96,06;-96,45
"90";"CDI";1997-05-13;107,713977;NA;-96,06;-96,45
"91";"CDI";1997-05-14;107,799071;NA;-96,06;-96,45
"92";"CDI";1997-05-15;107,884233;NA;-96,05;-96,44
"93";"CDI";1997-05-16;107,969461;NA;-96,05;-96,44
"94";"CDI";1997-05-19;108,054757;NA;-96,05;-96,44
"95";"CDI";1997-05-20;108,14012;NA;-96,04;-96,44
"96";"CDI";1997-05-21;108,225551;NA;-96,04;-96,43
"97";"CDI";1997-05-22;108,311049;NA;-96,04;-96,43
"98";"CDI";1997-05-23;108,396615;NA;-96,04;-96,43
"99";"CDI";1997-05-26;108,481887;NA;-96,03;-96,42
"100";"CDI";1997-05-27;108,566864;NA;-96,03;-96,42
"101";"CDI";1997-05-28;108,650099;NA;-96,03;-96,42
"102";"CDI";1997-05-30;108,731587;NA;-96,02;-96,42
"103";"CDI";1997-06-02;108,812773;NA;-96,02;-96,41
"104";"CDI";1997-06-03;108,89402;NA;-96,02;-96,41
"105";"CDI";1997-06-04;108,97569;NA;-96,01;-96,41
"106";"CDI";1997-06-05;109,057422;NA;-96,01;-96,41
"107";"CDI";1997-06-06;109,139579;NA;-96,01;-96,4
"108";"CDI";1997-06-09;109,222889;NA;-96,01;-96,4
"109";"CDI";1997-06-10;109,305898;NA;-96;-96,4
"110";"CDI";1997-06-11;109,38897;NA;-96;-96,39
"111";"CDI";1997-06-12;109,472106;NA;-96;-96,39
"112";"CDI";1997-06-13;109,55567;NA;-95,99;-96,39
"113";"CDI";1997-06-16;109,638932;NA;-95,99;-96,39
"114";"CDI";1997-06-17;109,722623;NA;-95,99;-96,38
"115";"CDI";1997-06-18;109,806378;NA;-95,98;-96,38
"116";"CDI";1997-06-19;109,889831;NA;-95,98;-96,38
"117";"CDI";1997-06-20;109,973347;NA;-95,98;-96,38
"118";"CDI";1997-06-23;110,05656;NA;-95,97;-96,37
"119";"CDI";1997-06-24;110,139836;NA;-95,97;-96,37
"120";"CDI";1997-06-25;110,223176;NA;-95,97;-96,37
"121";"CDI";1997-06-26;110,305476;NA;-95,97;-96,36
"122";"CDI";1997-06-27;110,387469;NA;-95,96;-96,36
"123";"CDI";1997-06-30;110,469156;NA;-95,96;-96,36
"124";"CDI";1997-07-01;110,545011;NA;-95,96;-96,36
"125";"CDI";1997-07-02;110,620919;NA;-95,95;-96,35
"126";"CDI";1997-07-03;110,696879;NA;-95,95;-96,35
"127";"CDI";1997-07-04;110,772891;NA;-95,95;-96,35
"128";"CDI";1997-07-07;110,849324;NA;-95,95;-96,35
"129";"CDI";1997-07-08;110,926179;NA;-95,94;-96,34
"130";"CDI";1997-07-09;111,003458;NA;-95,94;-96,34
"131";"CDI";1997-07-10;111,08042;NA;-95,94;-96,34
"132";"CDI";1997-07-11;111,157436;NA;-95,93;-96,34
"133";"CDI";1997-07-14;111,234876;NA;-95,93;-96,33
"134";"CDI";1997-07-15;111,312369;NA;-95,93;-96,33
"135";"CDI";1997-07-16;111,389546;NA;-95,93;-96,33
"136";"CDI";1997-07-17;111,466776;NA;-95,92;-96,33
"137";"CDI";1997-07-18;111,54406;NA;-95,92;-96,32
"138";"CDI";1997-07-21;111,621025;NA;-95,92;-96,32
"139";"CDI";1997-07-22;111,698044;NA;-95,91;-96,32
