Nome do Ativo;Data;Cota
ABSOLUTE VERTEX FIC MULTIMERCADO;25/03/2015;1
ABSOLUTE VERTEX FIC MULTIMERCADO;26/03/2015;0,998143
ABSOLUTE VERTEX FIC MULTIMERCADO;27/03/2015;0,998609
ABSOLUTE VERTEX FIC MULTIMERCADO;30/03/2015;1,001594
ABSOLUTE VERTEX FIC MULTIMERCADO;31/03/2015;0,998352
ABSOLUTE VERTEX FIC MULTIMERCADO;01/04/2015;0,997013
ABSOLUTE VERTEX FIC MULTIMERCADO;02/04/2015;0,999702
ABSOLUTE VERTEX FIC MULTIMERCADO;06/04/2015;1,000222
ABSOLUTE VERTEX FIC MULTIMERCADO;07/04/2015;1,005259
ABSOLUTE VERTEX FIC MULTIMERCADO;08/04/2015;1,002647
ABSOLUTE VERTEX FIC MULTIMERCADO;09/04/2015;1,006401
ABSOLUTE VERTEX FIC MULTIMERCADO;10/04/2015;1,011193
ABSOLUTE VERTEX FIC MULTIMERCADO;13/04/2015;1,012773
ABSOLUTE VERTEX FIC MULTIMERCADO;14/04/2015;1,008032
ABSOLUTE VERTEX FIC MULTIMERCADO;15/04/2015;1,009629
ABSOLUTE VERTEX FIC MULTIMERCADO;16/04/2015;1,004722
ABSOLUTE VERTEX FIC MULTIMERCADO;17/04/2015;0,999941
ABSOLUTE VERTEX FIC MULTIMERCADO;20/04/2015;1,00158
ABSOLUTE VERTEX FIC MULTIMERCADO;22/04/2015;1,004634
ABSOLUTE VERTEX FIC MULTIMERCADO;23/04/2015;1,00687
ABSOLUTE VERTEX FIC MULTIMERCADO;24/04/2015;1,009515
ABSOLUTE VERTEX FIC MULTIMERCADO;27/04/2015;1,009863
ABSOLUTE VERTEX FIC MULTIMERCADO;28/04/2015;1,006939
ABSOLUTE VERTEX FIC MULTIMERCADO;29/04/2015;1,004406
ABSOLUTE VERTEX FIC MULTIMERCADO;30/04/2015;1,006961
ABSOLUTE VERTEX FIC MULTIMERCADO;04/05/2015;1,014822
ABSOLUTE VERTEX FIC MULTIMERCADO;05/05/2015;1,012026
ABSOLUTE VERTEX FIC MULTIMERCADO;06/05/2015;1,008434
ABSOLUTE VERTEX FIC MULTIMERCADO;07/05/2015;1,005317
ABSOLUTE VERTEX FIC MULTIMERCADO;08/05/2015;1,003994
ABSOLUTE VERTEX FIC MULTIMERCADO;11/05/2015;1,007117
ABSOLUTE VERTEX FIC MULTIMERCADO;12/05/2015;1,005701
ABSOLUTE VERTEX FIC MULTIMERCADO;13/05/2015;1,005568
ABSOLUTE VERTEX FIC MULTIMERCADO;14/05/2015;1,004495
ABSOLUTE VERTEX FIC MULTIMERCADO;15/05/2015;1,003331
ABSOLUTE VERTEX FIC MULTIMERCADO;18/05/2015;1,007245
ABSOLUTE VERTEX FIC MULTIMERCADO;19/05/2015;1,010709
ABSOLUTE VERTEX FIC MULTIMERCADO;20/05/2015;1,010118
ABSOLUTE VERTEX FIC MULTIMERCADO;21/05/2015;1,01215
ABSOLUTE VERTEX FIC MULTIMERCADO;22/05/2015;1,024179
ABSOLUTE VERTEX FIC MULTIMERCADO;25/05/2015;1,024249
ABSOLUTE VERTEX FIC MULTIMERCADO;26/05/2015;1,030121
ABSOLUTE VERTEX FIC MULTIMERCADO;27/05/2015;1,032934
ABSOLUTE VERTEX FIC MULTIMERCADO;28/05/2015;1,033133
ABSOLUTE VERTEX FIC MULTIMERCADO;29/05/2015;1,033323
ABSOLUTE VERTEX FIC MULTIMERCADO;01/06/2015;1,037498
ABSOLUTE VERTEX FIC MULTIMERCADO;02/06/2015;1,036708
ABSOLUTE VERTEX FIC MULTIMERCADO;03/06/2015;1,037856
ABSOLUTE VERTEX FIC MULTIMERCADO;05/06/2015;1,044146
ABSOLUTE VERTEX FIC MULTIMERCADO;08/06/2015;1,040769
ABSOLUTE VERTEX FIC MULTIMERCADO;09/06/2015;1,037917
ABSOLUTE VERTEX FIC MULTIMERCADO;10/06/2015;1,038294
ABSOLUTE VERTEX FIC MULTIMERCADO;11/06/2015;1,033424
ABSOLUTE VERTEX FIC MULTIMERCADO;12/06/2015;1,034711
ABSOLUTE VERTEX FIC MULTIMERCADO;15/06/2015;1,036051
ABSOLUTE VERTEX FIC MULTIMERCADO;16/06/2015;1,031046
ABSOLUTE VERTEX FIC MULTIMERCADO;17/06/2015;1,029485
ABSOLUTE VERTEX FIC MULTIMERCADO;18/06/2015;1,028362
ABSOLUTE VERTEX FIC MULTIMERCADO;19/06/2015;1,028327
ABSOLUTE VERTEX FIC MULTIMERCADO;22/06/2015;1,032776
ABSOLUTE VERTEX FIC MULTIMERCADO;23/06/2015;1,035254
ABSOLUTE VERTEX FIC MULTIMERCADO;24/06/2015;1,03663
ABSOLUTE VERTEX FIC MULTIMERCADO;25/06/2015;1,037581
ABSOLUTE VERTEX FIC MULTIMERCADO;26/06/2015;1,041085
ABSOLUTE VERTEX FIC MULTIMERCADO;29/06/2015;1,036452
ABSOLUTE VERTEX FIC MULTIMERCADO;30/06/2015;1,034914
ABSOLUTE VERTEX FIC MULTIMERCADO;01/07/2015;1,039353
ABSOLUTE VERTEX FIC MULTIMERCADO;02/07/2015;1,033353
ABSOLUTE VERTEX FIC MULTIMERCADO;03/07/2015;1,037047
ABSOLUTE VERTEX FIC MULTIMERCADO;06/07/2015;1,037946
ABSOLUTE VERTEX FIC MULTIMERCADO;07/07/2015;1,042041
ABSOLUTE VERTEX FIC MULTIMERCADO;08/07/2015;1,043336
ABSOLUTE VERTEX FIC MULTIMERCADO;09/07/2015;1,043445
ABSOLUTE VERTEX FIC MULTIMERCADO;10/07/2015;1,035124
ABSOLUTE VERTEX FIC MULTIMERCADO;13/07/2015;1,031303
ABSOLUTE VERTEX FIC MULTIMERCADO;14/07/2015;1,030492
ABSOLUTE VERTEX FIC MULTIMERCADO;15/07/2015;1,029007
ABSOLUTE VERTEX FIC MULTIMERCADO;16/07/2015;1,032118
ABSOLUTE VERTEX FIC MULTIMERCADO;17/07/2015;1,038948
ABSOLUTE VERTEX FIC MULTIMERCADO;20/07/2015;1,040474
ABSOLUTE VERTEX FIC MULTIMERCADO;21/07/2015;1,033645
ABSOLUTE VERTEX FIC MULTIMERCADO;22/07/2015;1,04674
ABSOLUTE VERTEX FIC MULTIMERCADO;23/07/2015;1,060784
ABSOLUTE VERTEX FIC MULTIMERCADO;24/07/2015;1,069372
ABSOLUTE VERTEX FIC MULTIMERCADO;27/07/2015;1,068039
ABSOLUTE VERTEX FIC MULTIMERCADO;28/07/2015;1,070871
ABSOLUTE VERTEX FIC MULTIMERCADO;29/07/2015;1,063999
ABSOLUTE VERTEX FIC MULTIMERCADO;30/07/2015;1,070012
ABSOLUTE VERTEX FIC MULTIMERCADO;31/07/2015;1,075447
ABSOLUTE VERTEX FIC MULTIMERCADO;03/08/2015;1,07948
ABSOLUTE VERTEX FIC MULTIMERCADO;04/08/2015;1,080479
ABSOLUTE VERTEX FIC MULTIMERCADO;05/08/2015;1,086381
ABSOLUTE VERTEX FIC MULTIMERCADO;06/08/2015;1,09477
ABSOLUTE VERTEX FIC MULTIMERCADO;07/08/2015;1,089578
ABSOLUTE VERTEX FIC MULTIMERCADO;10/08/2015;1,083435
ABSOLUTE VERTEX FIC MULTIMERCADO;11/08/2015;1,085767
ABSOLUTE VERTEX FIC MULTIMERCADO;12/08/2015;1,080734
ABSOLUTE VERTEX FIC MULTIMERCADO;13/08/2015;1,085406
ABSOLUTE VERTEX FIC MULTIMERCADO;14/08/2015;1,085143
ABSOLUTE VERTEX FIC MULTIMERCADO;17/08/2015;1,088332
ABSOLUTE VERTEX FIC MULTIMERCADO;18/08/2015;1,088249
ABSOLUTE VERTEX FIC MULTIMERCADO;19/08/2015;1,091927
ABSOLUTE VERTEX FIC MULTIMERCADO;20/08/2015;1,091817
ABSOLUTE VERTEX FIC MULTIMERCADO;21/08/2015;1,10103
ABSOLUTE VERTEX FIC MULTIMERCADO;24/08/2015;1,117274
ABSOLUTE VERTEX FIC MULTIMERCADO;25/08/2015;1,120759
ABSOLUTE VERTEX FIC MULTIMERCADO;26/08/2015;1,116876
ABSOLUTE VERTEX FIC MULTIMERCADO;27/08/2015;1,111031
ABSOLUTE VERTEX FIC MULTIMERCADO;28/08/2015;1,110226
ABSOLUTE VERTEX FIC MULTIMERCADO;31/08/2015;1,109478
ABSOLUTE VERTEX FIC MULTIMERCADO;01/09/2015;1,116297
ABSOLUTE VERTEX FIC MULTIMERCADO;02/09/2015;1,123423
ABSOLUTE VERTEX FIC MULTIMERCADO;03/09/2015;1,1231
ABSOLUTE VERTEX FIC MULTIMERCADO;04/09/2015;1,138814
ABSOLUTE VERTEX FIC MULTIMERCADO;08/09/2015;1,135141
ABSOLUTE VERTEX FIC MULTIMERCADO;09/09/2015;1,133792
ABSOLUTE VERTEX FIC MULTIMERCADO;10/09/2015;1,132205
ABSOLUTE VERTEX FIC MULTIMERCADO;11/09/2015;1,131528
ABSOLUTE VERTEX FIC MULTIMERCADO;14/09/2015;1,134355
ABSOLUTE VERTEX FIC MULTIMERCADO;15/09/2015;1,133344
ABSOLUTE VERTEX FIC MULTIMERCADO;16/09/2015;1,131456
ABSOLUTE VERTEX FIC MULTIMERCADO;17/09/2015;1,131509
ABSOLUTE VERTEX FIC MULTIMERCADO;18/09/2015;1,134228
ABSOLUTE VERTEX FIC MULTIMERCADO;21/09/2015;1,132168
ABSOLUTE VERTEX FIC MULTIMERCADO;22/09/2015;1,131052
ABSOLUTE VERTEX FIC MULTIMERCADO;23/09/2015;1,124694
ABSOLUTE VERTEX FIC MULTIMERCADO;24/09/2015;1,127435
ABSOLUTE VERTEX FIC MULTIMERCADO;25/09/2015;1,133865
ABSOLUTE VERTEX FIC MULTIMERCADO;28/09/2015;1,140664
ABSOLUTE VERTEX FIC MULTIMERCADO;29/09/2015;1,142273
ABSOLUTE VERTEX FIC MULTIMERCADO;30/09/2015;1,135364
ABSOLUTE VERTEX FIC MULTIMERCADO;01/10/2015;1,127639
ABSOLUTE VERTEX FIC MULTIMERCADO;02/10/2015;1,128291
ABSOLUTE VERTEX FIC MULTIMERCADO;05/10/2015;1,126649
ABSOLUTE VERTEX FIC MULTIMERCADO;06/10/2015;1,131415
ABSOLUTE VERTEX FIC MULTIMERCADO;07/10/2015;1,131905
ABSOLUTE VERTEX FIC MULTIMERCADO;08/10/2015;1,128489
ABSOLUTE VERTEX FIC MULTIMERCADO;09/10/2015;1,123643
ABSOLUTE VERTEX FIC MULTIMERCADO;13/10/2015;1,12122
ABSOLUTE VERTEX FIC MULTIMERCADO;14/10/2015;1,111035
ABSOLUTE VERTEX FIC MULTIMERCADO;15/10/2015;1,112119
ABSOLUTE VERTEX FIC MULTIMERCADO;16/10/2015;1,115357
ABSOLUTE VERTEX FIC MULTIMERCADO;19/10/2015;1,116472
ABSOLUTE VERTEX FIC MULTIMERCADO;20/10/2015;1,119861
ABSOLUTE VERTEX FIC MULTIMERCADO;21/10/2015;1,12017
ABSOLUTE VERTEX FIC MULTIMERCADO;22/10/2015;1,125944
ABSOLUTE VERTEX FIC MULTIMERCADO;23/10/2015;1,127913
ABSOLUTE VERTEX FIC MULTIMERCADO;26/10/2015;1,129617
ABSOLUTE VERTEX FIC MULTIMERCADO;27/10/2015;1,133473
ABSOLUTE VERTEX FIC MULTIMERCADO;28/10/2015;1,135913
ABSOLUTE VERTEX FIC MULTIMERCADO;29/10/2015;1,133579
ABSOLUTE VERTEX FIC MULTIMERCADO;30/10/2015;1,133177
ABSOLUTE VERTEX FIC MULTIMERCADO;03/11/2015;1,128547
ABSOLUTE VERTEX FIC MULTIMERCADO;04/11/2015;1,136224
ABSOLUTE VERTEX FIC MULTIMERCADO;05/11/2015;1,134666
ABSOLUTE VERTEX FIC MULTIMERCADO;06/11/2015;1,139186
ABSOLUTE VERTEX FIC MULTIMERCADO;09/11/2015;1,141149
ABSOLUTE VERTEX FIC MULTIMERCADO;10/11/2015;1,141948
ABSOLUTE VERTEX FIC MULTIMERCADO;11/11/2015;1,142005
ABSOLUTE VERTEX FIC MULTIMERCADO;12/11/2015;1,140884
ABSOLUTE VERTEX FIC MULTIMERCADO;13/11/2015;1,147142
ABSOLUTE VERTEX FIC MULTIMERCADO;16/11/2015;1,148672
ABSOLUTE VERTEX FIC MULTIMERCADO;17/11/2015;1,147964
ABSOLUTE VERTEX FIC MULTIMERCADO;18/11/2015;1,148178
ABSOLUTE VERTEX FIC MULTIMERCADO;19/11/2015;1,146085
ABSOLUTE VERTEX FIC MULTIMERCADO;20/11/2015;1,148389
ABSOLUTE VERTEX FIC MULTIMERCADO;23/11/2015;1,148902
ABSOLUTE VERTEX FIC MULTIMERCADO;24/11/2015;1,14828
ABSOLUTE VERTEX FIC MULTIMERCADO;25/11/2015;1,14385
ABSOLUTE VERTEX FIC MULTIMERCADO;26/11/2015;1,142395
ABSOLUTE VERTEX FIC MULTIMERCADO;27/11/2015;1,139948
ABSOLUTE VERTEX FIC MULTIMERCADO;30/11/2015;1,148116
ABSOLUTE VERTEX FIC MULTIMERCADO;01/12/2015;1,147233
ABSOLUTE VERTEX FIC MULTIMERCADO;02/12/2015;1,147508
ABSOLUTE VERTEX FIC MULTIMERCADO;03/12/2015;1,143856
ABSOLUTE VERTEX FIC MULTIMERCADO;04/12/2015;1,141996
ABSOLUTE VERTEX FIC MULTIMERCADO;07/12/2015;1,142965
ABSOLUTE VERTEX FIC MULTIMERCADO;08/12/2015;1,142873
ABSOLUTE VERTEX FIC MULTIMERCADO;09/12/2015;1,145115
ABSOLUTE VERTEX FIC MULTIMERCADO;10/12/2015;1,144383
ABSOLUTE VERTEX FIC MULTIMERCADO;11/12/2015;1,148081
ABSOLUTE VERTEX FIC MULTIMERCADO;14/12/2015;1,147395
ABSOLUTE VERTEX FIC MULTIMERCADO;15/12/2015;1,147922
ABSOLUTE VERTEX FIC MULTIMERCADO;16/12/2015;1,146128
ABSOLUTE VERTEX FIC MULTIMERCADO;17/12/2015;1,151315
ABSOLUTE VERTEX FIC MULTIMERCADO;18/12/2015;1,150252
ABSOLUTE VERTEX FIC MULTIMERCADO;21/12/2015;1,149477
ABSOLUTE VERTEX FIC MULTIMERCADO;22/12/2015;1,150745
ABSOLUTE VERTEX FIC MULTIMERCADO;23/12/2015;1,151693
ABSOLUTE VERTEX FIC MULTIMERCADO;24/12/2015;1,151859
ABSOLUTE VERTEX FIC MULTIMERCADO;28/12/2015;1,153557
ABSOLUTE VERTEX FIC MULTIMERCADO;29/12/2015;1,150859
ABSOLUTE VERTEX FIC MULTIMERCADO;30/12/2015;1,155121
ABSOLUTE VERTEX FIC MULTIMERCADO;31/12/2015;1,156244
ABSOLUTE VERTEX FIC MULTIMERCADO;04/01/2016;1,160689
ABSOLUTE VERTEX FIC MULTIMERCADO;05/01/2016;1,164343
ABSOLUTE VERTEX FIC MULTIMERCADO;06/01/2016;1,165999
ABSOLUTE VERTEX FIC MULTIMERCADO;07/01/2016;1,167885
ABSOLUTE VERTEX FIC MULTIMERCADO;08/01/2016;1,169155
ABSOLUTE VERTEX FIC MULTIMERCADO;11/01/2016;1,170108
ABSOLUTE VERTEX FIC MULTIMERCADO;12/01/2016;1,170465
ABSOLUTE VERTEX FIC MULTIMERCADO;13/01/2016;1,173261
ABSOLUTE VERTEX FIC MULTIMERCADO;14/01/2016;1,170131
ABSOLUTE VERTEX FIC MULTIMERCADO;15/01/2016;1,174237
ABSOLUTE VERTEX FIC MULTIMERCADO;18/01/2016;1,175276
ABSOLUTE VERTEX FIC MULTIMERCADO;19/01/2016;1,172963
ABSOLUTE VERTEX FIC MULTIMERCADO;20/01/2016;1,176069
ABSOLUTE VERTEX FIC MULTIMERCADO;21/01/2016;1,180091
ABSOLUTE VERTEX FIC MULTIMERCADO;22/01/2016;1,17441
ABSOLUTE VERTEX FIC MULTIMERCADO;25/01/2016;1,176475
ABSOLUTE VERTEX FIC MULTIMERCADO;26/01/2016;1,172259
ABSOLUTE VERTEX FIC MULTIMERCADO;27/01/2016;1,174058
ABSOLUTE VERTEX FIC MULTIMERCADO;28/01/2016;1,173309
ABSOLUTE VERTEX FIC MULTIMERCADO;29/01/2016;1,167181
ABSOLUTE VERTEX FIC MULTIMERCADO;01/02/2016;1,16692
ABSOLUTE VERTEX FIC MULTIMERCADO;02/02/2016;1,175081
ABSOLUTE VERTEX FIC MULTIMERCADO;03/02/2016;1,157101
ABSOLUTE VERTEX FIC MULTIMERCADO;04/02/2016;1,1512
ABSOLUTE VERTEX FIC MULTIMERCADO;05/02/2016;1,157897
ABSOLUTE VERTEX FIC MULTIMERCADO;10/02/2016;1,167558
ABSOLUTE VERTEX FIC MULTIMERCADO;11/02/2016;1,176033
ABSOLUTE VERTEX FIC MULTIMERCADO;12/02/2016;1,169791
ABSOLUTE VERTEX FIC MULTIMERCADO;15/02/2016;1,167502
ABSOLUTE VERTEX FIC MULTIMERCADO;16/02/2016;1,170744
ABSOLUTE VERTEX FIC MULTIMERCADO;17/02/2016;1,161439
ABSOLUTE VERTEX FIC MULTIMERCADO;18/02/2016;1,167424
ABSOLUTE VERTEX FIC MULTIMERCADO;19/02/2016;1,167048
ABSOLUTE VERTEX FIC MULTIMERCADO;22/02/2016;1,157935
ABSOLUTE VERTEX FIC MULTIMERCADO;23/02/2016;1,163365
ABSOLUTE VERTEX FIC MULTIMERCADO;24/02/2016;1,163401
ABSOLUTE VERTEX FIC MULTIMERCADO;25/02/2016;1,160838
ABSOLUTE VERTEX FIC MULTIMERCADO;26/02/2016;1,16235
ABSOLUTE VERTEX FIC MULTIMERCADO;29/02/2016;1,163592
ABSOLUTE VERTEX FIC MULTIMERCADO;01/03/2016;1,150632
ABSOLUTE VERTEX FIC MULTIMERCADO;02/03/2016;1,148597
ABSOLUTE VERTEX FIC MULTIMERCADO;03/03/2016;1,147229
ABSOLUTE VERTEX FIC MULTIMERCADO;04/03/2016;1,145816
ABSOLUTE VERTEX FIC MULTIMERCADO;07/03/2016;1,144666
ABSOLUTE VERTEX FIC MULTIMERCADO;08/03/2016;1,14922
ABSOLUTE VERTEX FIC MULTIMERCADO;09/03/2016;1,148162
ABSOLUTE VERTEX FIC MULTIMERCADO;10/03/2016;1,147391
ABSOLUTE VERTEX FIC MULTIMERCADO;11/03/2016;1,141568
ABSOLUTE VERTEX FIC MULTIMERCADO;14/03/2016;1,141643
ABSOLUTE VERTEX FIC MULTIMERCADO;15/03/2016;1,141573
ABSOLUTE VERTEX FIC MULTIMERCADO;16/03/2016;1,139808
