"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_fundo_acum";"ret_cdi_acum";"janela";"meses";"cobertura_ok";"ret_fundo_aa";"ret_cdi_aa";"excesso_cdi_aa";"percentual_cdi"
"AF Invest Geraes 30 FIRF CP";"AF Invest Geraes 30";"AF INVEST GERAES 30 FIF RENDA FIXA";"0,0050";"2025-12-31";"2026-06-30";"123";"0,0591992141995581";"0,0690511803661034";"6 meses";"6";TRUE;"0,1219029753609613";"0,142870426242159";"-1,83463062826291e-02";"0,853241489980167"
"AF Invest Geraes 30 FIRF CP";"AF Invest Geraes 30";"AF INVEST GERAES 30 FIF RENDA FIXA";"0,0050";"2025-07-01";"2026-06-30";"252";"0,1365384065056798";"0,1478274521113714";"12 meses";"12";TRUE;"0,1365384065056798";"0,147827452111371";"-9,83514167127286e-03";"0,923633632018588"
"AF Invest Geraes 30 FIRF CP";"AF Invest Geraes 30";"AF INVEST GERAES 30 FIF RENDA FIXA";"0,0050";"2024-07-01";"2026-06-30";"503";"0,2929352616529937";"0,2870100168583818";"24 meses";"24";TRUE;"0,1370731118327413";"0,134464638875263";"2,29929860137723e-03";"1,019398951124225"
"AF Invest Geraes 30 FIRF CP";"AF Invest Geraes 30";"AF INVEST GERAES 30 FIF RENDA FIXA";"0,0050";"2023-07-03";"2026-06-30";"752";"0,4807317984241013";"0,4374821021799329";"36 meses";"36";TRUE;"0,1397916410072535";"0,128584674955896";"9,93010653081527e-03";"1,087156312019310"
"ARX Everest Advisory FIC de FIF RF CP RL";"ARX Everest Advisory";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070";"2025-12-31";"2026-06-30";"123";"0,0648184468308570";"0,0690511803661034";"6 meses";"6";TRUE;"0,1338383247112787";"0,142870426242159";"-7,90299698328734e-03";"0,936781167604475"
"ARX Everest Advisory FIC de FIF RF CP RL";"ARX Everest Advisory";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070";"2025-07-01";"2026-06-30";"252";"0,1455176127139881";"0,1478274521113714";"12 meses";"12";TRUE;"0,1455176127139881";"0,147827452111371";"-2,01235768767727e-03";"0,984374760138306"
"ARX Everest Advisory FIC de FIF RF CP RL";"ARX Everest Advisory";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070";"2024-07-01";"2026-06-30";"503";"0,2988998030483361";"0,2870100168583818";"24 meses";"24";TRUE;"0,1396928546974119";"0,134464638875263";"4,60853132216799e-03";"1,038881715415146"
"ARX Everest Advisory FIC de FIF RF CP RL";"ARX Everest Advisory";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070";"2023-07-03";"2026-06-30";"752";"0,4674211486341759";"0,4374821021799329";"36 meses";"36";TRUE;"0,1363660700713141";"0,128584674955896";"6,89482613763315e-03";"1,060515727228670"
"AZ Quest Altro Advisory FIC de FIF Multimercado CP";"AZ Quest Altro Advisory";"AZ QUEST ALTRO ADVISORY FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0080";"2025-12-31";"2026-06-30";"123";"0,0518384219616626";"0,0690511803661034";"6 meses";"6";TRUE;"0,1063640659148004";"0,142870426242159";"-3,19426940177233e-02";"0,744479236973214"
"AZ Quest Altro Advisory FIC de FIF Multimercado CP";"AZ Quest Altro Advisory";"AZ QUEST ALTRO ADVISORY FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0080";"2025-07-01";"2026-06-30";"252";"0,1346458252035951";"0,1478274521113714";"12 meses";"12";TRUE;"0,1346458252035951";"0,147827452111371";"-1,14839794810007e-02";"0,910830994382252"
