"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_obs";"ret_liq_12m";"ret_pre_taxa_12m";"ret_cdi_12m";"taxa_efetiva_12m";"excesso_cdi_liq_12m";"excesso_cdi_pre_taxa_12m"
"Persevera Yield FIRF LP";"Persevera Yield";"PERSEVERA YIELD FI RENDA FIXA LP";"0,0070";"2025-07-01";"2026-06-30";"252";"0,1566995706615462";"0,164796467656147";"0,147827452111371";"0,00699999999997369";"7,72948802875817e-03";"0,014783594444933268"
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"2025-07-01";"2026-06-30";"252";"0,1547894924734725";"0,163565892616280";"0,147827452111371";"0,00760000000000960";"6,06540673800304e-03";"0,013711503829220151"
"JGP Crédito Advisory FIF Multimercado CP RL";"JGP Crédito Advisory";"JGP CRÉDITO ADVISORY RESP LIMITADA FIF MULTIMERCADO CRÉDITO PRIVADO";"0,0110";"2025-07-01";"2026-06-30";"252";"0,1546462394095347";"0,167347348043020";"0,147827452111371";"0,01099999999998102";"5,94060308073363e-03";"0,017005949714604229"
"Atena Yield D30 FIC de FIF RF CP RL";"Atena Yield D30";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085";"2025-07-01";"2026-06-30";"252";"0,1545404991713497";"0,164354093414316";"0,147827452111371";"0,00850000000000795";"5,84848101309121e-03";"0,014398193101711199"
"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090";"2025-07-01";"2026-06-30";"252";"0,1531379735812710";"0,163516215343487";"0,147827452111371";"0,00899999999998702";"4,62658517195358e-03";"0,013668224438487808"
"Integral FIRF CP";"Integral";"INTEGRAL FIF RENDA FIXA";"0,0075";"2025-07-01";"2026-06-30";"252";"0,1523601894215112";"0,161002890842171";"0,147827452111371";"0,00749999999999962";"3,94897099019720e-03";"0,011478588272622714"
"Daycoval Classic 30 FIRF CP";"Daycoval Classic 30";"DAYCOVAL CLASSIC 30 FIF";"0,0040";"2025-07-01";"2026-06-30";"252";"0,1522656378571032";"0,156874700408532";"0,147827452111371";"0,00400000000000089";"3,86659661917643e-03";"0,007882063005653528"
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1522423875951673";"0,159155841920734";"0,147827452111371";"0,00599999999999468";"3,84634073324763e-03";"0,009869418777643801"
"Bradesco Ultra II FIF - CIC RF CP LP - RL";"Bradesco Ultra II";"BRADESCO ULTRA II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2025-07-01";"2026-06-30";"252";"0,1521984982251094";"0,159111689214457";"0,147827452111371";"0,00599999999999468";"3,80810382753771e-03";"0,009830952450500474"
"Mag High Grade Plus 30 FIF RF CP LP RL";"Mag High Grade Plus 30";"MAG HIGH GRADE PLUS 30 RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0064";"2025-07-01";"2026-06-30";"252";"0,1515284518246953";"0,158898233916363";"0,147827452111371";"0,00639999999998953";"3,22435197600135e-03";"0,009644987828638429"
"BNP Paribas Rubi FIF RF CP RL";"BNP Paribas Rubi";"BNP PARIBAS RUBI RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0040";"2025-07-01";"2026-06-30";"252";"0,1513259957683293";"0,155931299751403";"0,147827452111371";"0,00400000000000089";"3,04797001546042e-03";"0,007060161895522388"
