"nome_plot";"cluster";"nome_xlsx";"nome_quantum";"taxa_adm_aa"
"AF Invest Geraes 30";"1";"AF Invest Geraes 30 FIRF CP";"AF INVEST GERAES 30 FIF RENDA FIXA";"0,0050"
"ARX Everest Advisory";"1";"ARX Everest Advisory FIC de FIF RF CP RL";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070"
"AZ Quest Altro Advisory";"1";"AZ Quest Altro Advisory FIC de FIF Multimercado CP";"AZ QUEST ALTRO ADVISORY FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0080"
"Absolute Creta Advisory";"1";"Absolute Creta Advisory FIF FIRF";"ABSOLUTE CRETA ADVISORY FIF CIC RENDA FIXA";"0,0058"
"Arx Vinson Advisory";"1";"Arx Vinson Advisory FIC de FIF RF CP RL";"ARX VINSON ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0050"
"Atena Yield D30";"1";"Atena Yield D30 FIC de FIF RF CP RL";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085"
"Augme 30 Advisory";"1";"Augme 30 Advisory CIC RF CP LP RL";"AUGME 30 ADVISORY FIF CIC RENDA FIXA";"0,0060"
"Augme 30 II";"1";"Augme 30 II CIC de CIRF CP LP RL";"AUGME 30 II RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060"
"BB Asset";"1";"BB Asset RF CP LP FIC FIF RL";"BB ASSET RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050"
"BNP Paribas Match Plus 30 Advisory";"1";"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065"
"BNP Paribas Rubi";"1";"BNP Paribas Rubi FIF RF CP RL";"BNP PARIBAS RUBI RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0040"
"BOCOM BBM Corporate Credit Plus MULT";"1";"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090"
"BTG Pactual Crédito Corporativo I";"1";"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050"
"Bocom BBM Corporate Credit II";"1";"Bocom BBM Corporate Credit II FIF RF CP RL";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060"
"Bradesco Ultra II";"1";"Bradesco Ultra II FIF - CIC RF CP LP - RL";"BRADESCO ULTRA II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060"
"Capitânia Premium 45";"1";"Capitânia Premium 45 FIC de FIF RF CP LP RL";"CAPITÂNIA PREMIUM 45 RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0055"
"Compass Yield 30";"1";"Compass Yield 30 FIF RF CP LP RL";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060"
"Daycoval Classic 30";"1";"Daycoval Classic 30 FIRF CP";"DAYCOVAL CLASSIC 30 FIF";"0,0040"
"Integral";"1";"Integral FIRF CP";"INTEGRAL FIF RENDA FIXA";"0,0075"
"Inter Premium";"1";"Inter Premium FIF RF CP LP RL";"INTER PREMIUM RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060"
"Iridium Titan Advisory";"1";"Iridium Titan Advisory FIC em FIF RF CP RL";"IRIDIUM TITAN ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060"
"JGP Corporate FEEDER II";"1";"JGP Corporate FIC de FIF RF CP LP FEEDER II RL";"JGP CORPORATE FEEDER III RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060"
"JGP Crédito Advisory";"1";"JGP Crédito Advisory FIF Multimercado CP RL";"JGP CRÉDITO ADVISORY RESP LIMITADA FIF MULTIMERCADO CRÉDITO PRIVADO";"0,0110"
"Novus Crédito";"1";"Novus Crédito FIM CP LP";"NOVUS CRÉDITO HIGH GRADE FI MULTIMERCADO LP";"0,0070"
"Occam Crédito Corporativo 30";"1";"Occam Crédito Corporativo 30 FIC FIF RF CP LP RL";"OCCAM CRÉDITO CORPORATIVO 30 RESP LIMITADA FIF CIC RENDA FIXA";"0,0060"
"Plural Crédito Corporativo II";"1";"Plural Crédito Corporativo II FIC de FIF RF CP LP RL";"PLURAL CRÉDITO CORPORATIVO II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050"
"Polo Crédito Corporativo Advisory";"1";"Polo Crédito Corporativo Advisory FIC FIF RF CP LP RL";"POLO CRÉDITO CORPORATIVO ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050"
"Porto Seguro Ipê";"1";"Porto Seguro Ipê RF FIC FI CP LP";"PORTO SEGURO IPÊ RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050"
"Principal Claritas";"1";"Principal Claritas FIF RF";"PRINCIPAL CLARITAS FIF RENDA FIXA";"0,0050"
"Root Capital Crédito HG Plus";"1";"Root Capital Crédito HG Plus FIC de FIF Multimercado CP RL";"ROOT CAPITAL CRÉDITO HG PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0104"
"SPX Seahawk Advisory";"1";"SPX Seahawk Advisory FIC FIRF CP LP";"SPX SEAHAWK ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060"
"Safra Grand Vitesse";"1";"Safra Grand Vitesse FIRF CP";"SAFRA GRAND VITESSE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0025"
"Safra Polaris";"1";"Safra Polaris Classe de Investimento RF CP RL";"SAFRA POLARIS RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0060"
"Safra Vitesse";"1";"Safra Vitesse Classe de Investimento RF CP RL";"SAFRA VITESSE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0050"
"Selection Light";"1";"Selection RF Light FIC FIRF CP LP";"SELECTION RF LIGHT FIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0031"
"Sparta Max Advisory";"1";"Sparta Max Advisory FIC de FIF RF CP LP RL";"SPARTA MAX ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0035"
"Sparta Top";"1";"Sparta Top FIC FIF RF CP LP - Resp Limitada";"SPARTA TOP RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0030"
"SulAmérica Crédito Ativo";"1";"SulAmérica Crédito Ativo FIRF CP LP";"SULAMÉRICA CRÉDITO ATIVO RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060"
"SulAmérica Crédito ESG";"1";"SulAmérica Crédito ESG FIRF CP LP IS";"SULAMÉRICA CRÉDITO ESG INVEST SUSTENTÁVEL RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060"
"Tríade";"1";"Tríade CIC CLasses FIM CP Resp Limitada";"TRÍADE FIF CIC MULTIMERCADO";"0,0066"
"Valora Absolute";"1";"Valora Absolute FIF RF CP LP RL";"VALORA ABSOLUTE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0050"
"Vinland Crédito";"1";"Vinland Crédito Multimercado FIC FI CP";"VINLAND CRÉDITO RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0070"
"Vinland Crédito 10";"1";"Vinland Crédito 10 FIC FIRF";"VINLAND CRÉDITO 10 FIC RENDA FIXA";"0,0050"
"Western Asset Total Credit Plus";"1";"Western Asset Total Credit Plus FIF";"WESTERN ASSET TOTAL CREDIT PLUS CI RESP LIMITADA RENDA FIXA CRÉDITO PRIVADO";"0,0065"
"XP Corporate Light";"1";"XP Corporate Light FIRF CP LP";"XP CORPORATE LIGHT RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050"
"XP Corporate Plus";"1";"XP Corporate Plus FIC FIF Multi CP RL";"XP CORPORATE PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0075"
