"nome_xlsx";"nome_curto";"nome_plot";"nome_quantum";"taxa_adm_aa";"criterio_match";"similaridade";"revisar"
"Persevera Yield FIRF LP";"Persevera Yield";"Persevera Yield";"PERSEVERA YIELD FI RENDA FIXA LP";"0,0070";"Similaridade de nome";"1,000000000000000";FALSE
"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090";"Similaridade de nome";"0,861111111111111";FALSE
"Atena Yield D30 FIC de FIF RF CP RL";"Atena Yield D30";"Atena Yield D30";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085";"Similaridade de nome";"1,000000000000000";FALSE
"BNP Paribas Rubi FIF RF CP RL";"BNP Paribas Rubi";"BNP Paribas Rubi";"BNP PARIBAS RUBI RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0040";"Similaridade de nome";"1,000000000000000";FALSE
"SulAmérica Crédito Ativo FIRF CP LP";"SulAmérica Crédito Ativo";"SulAmérica Crédito Ativo";"SULAMÉRICA CRÉDITO ATIVO RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"Mag High Grade Plus 30 FIF RF CP LP RL";"Mag High Grade Plus 30";"Mag High Grade Plus 30";"MAG HIGH GRADE PLUS 30 RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0064";"Similaridade de nome";"1,000000000000000";FALSE
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"Similaridade de nome";"1,000000000000000";FALSE
"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP Paribas Match Plus 30 Advisory";"BNP Paribas Match Plus 30 Advisory";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065";"Similaridade de nome";"1,000000000000000";FALSE
"Daycoval Classic 30 FIRF CP";"Daycoval Classic 30";"Daycoval Classic 30";"DAYCOVAL CLASSIC 30 FIF";"0,0040";"Similaridade de nome";"1,000000000000000";FALSE
"Principal Claritas FIF RF";"Principal Claritas";"Principal Claritas";"PRINCIPAL CLARITAS FIF RENDA FIXA";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"Bradesco Ultra II FIF - CIC RF CP LP - RL";"Bradesco Ultra II";"Bradesco Ultra II";"BRADESCO ULTRA II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"Tivio Institucional 15";"Tivio Institucional 15";"Tivio Institucional 15";"TIVIO INSTITUCIONAL 15 RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"Root Capital Crédito HG Plus FIC de FIF Multimercado CP RL";"Root Capital Crédito HG Plus";"Root Capital Crédito HG Plus";"ROOT CAPITAL CRÉDITO HG PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0104";"Similaridade de nome";"1,000000000000000";FALSE
"Bocom BBM Corporate Credit II FIF RF CP RL";"Bocom BBM Corporate Credit II";"Bocom BBM Corporate Credit II";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"Occam Crédito Corporativo 30 FIC FIF RF CP LP RL";"Occam Crédito Corporativo 30";"Occam Crédito Corporativo 30";"OCCAM CRÉDITO CORPORATIVO 30 RESP LIMITADA FIF CIC RENDA FIXA";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"Safra Grand Vitesse FIRF CP";"Safra Grand Vitesse";"Safra Grand Vitesse";"SAFRA GRAND VITESSE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0025";"Similaridade de nome";"1,000000000000000";FALSE
"Safra Vitesse Classe de Investimento RF CP RL";"Safra Vitesse";"Safra Vitesse";"SAFRA VITESSE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0050";"Similaridade de nome";"1,000000000000000";FALSE
"SulAmérica Crédito ESG FIRF CP LP IS";"SulAmérica Crédito ESG";"SulAmérica Crédito ESG";"SULAMÉRICA CRÉDITO ESG INVEST SUSTENTÁVEL RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
"Novus Crédito FIM CP LP";"Novus Crédito";"Novus Crédito";"NOVUS CRÉDITO HIGH GRADE FI MULTIMERCADO LP";"0,0070";"Validado manualmente";"0,312500000000000";FALSE
"Safra Polaris Classe de Investimento RF CP RL";"Safra Polaris";"Safra Polaris";"SAFRA POLARIS RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0060";"Similaridade de nome";"1,000000000000000";FALSE
