Fundo;Gestor;Administrador;Aplicação Inicial;Cotização;Liquidação;Liquidez total (Cotização + Liquidação) em número (aproximação para filtros);Taxa de Administração;Benchmark;Data de Início
Persevera Yield FIRF LP;Persevera Asset Management;BTG Pactual Serviços Financeiros;500;D+14 (corridos);D+1 (útil);15;0,007;CDI;45196
BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL;BOCOM BBM Investimentos;BEM DTVM;1000;D+120 (corridos);D+1 (útil);121;0,009;CDI;43826
Atena Yield D30 FIC de FIF RF CP RL;Atena Capital;BTG Pactual Serviços Financeiros;1000;D+29 (corridos);D+1 (útil);30;0,0085;CDI;43444
BNP Paribas Rubi FIF RF CP RL;BNP Paribas Asset Management;BNP Paribas;500;D+9 (corridos);D+1 (útil);10;0,004;CDI;42003
SulAmérica Crédito Ativo FIRF CP LP;SulAmérica Investimentos;SulAmérica Investimentos;1000;D+29 (corridos);D+1 (útil);30;0,006;CDI;40994
Mag High Grade Plus 30 FIF RF CP LP RL;Mongeral Aegon Investimentos;BNY Mellon Serviços Financeiros;1000;D+30 (corridos);D+1 (útil);31;0,0064;CDI;45070
Ibiuna Credit FIF CIC Multimercado CP RL;Ibiuna Investimentos;BEM DTVM;1000;D+30 (corridos);D+1 (útil);31;0,0076;CDI;44043
BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL;BNP Paribas Asset Management;BNP Paribas;500;D+29 (corridos);D+1 (útil);30;0,0065;CDI;45022
Daycoval Classic 30 FIRF CP;Daycoval Asset Management;Banco Daycoval;500;D+29 (corridos);D+1 (útil);30;0,004;CDI;43283
Principal Claritas FIF RF;Principal Asset Management LTDA;BTG Pactual Serviços Financeiros;1000;D+30 (corridos);D+1 (útil);31;0,005;-;40302
Bradesco Ultra II FIF - CIC RF CP LP - RL;Bradesco S.A.;Banco Bradesco;1000;D+30 (corridos);D+1 (útil);31;0,006;CDI;45471
Tivio Institucional 15;Tivio Capital;BEM DTVM;3000;D+15 (corridos);D+1 (útil);16;0,005;CDI;36983
Root Capital Crédito HG Plus FIC de FIF Multimercado CP RL;Root Capital;BNY Mellon Serviços Financeiros;5000;D+59 (corridos);D+1 (útil);60;0,0104;CDI;44560
Bocom BBM Corporate Credit II FIF RF CP RL;BOCOM BBM Investimentos;BEM DTVM;100;D+30 (corridos);D+1 (útil);31;0,006;CDI;45026
Occam Crédito Corporativo 30 FIC FIF RF CP LP RL;Occam Investimentos;BNY Mellon Serviços Financeiros;500;D+30 (corridos);D+1 (útil);31;0,006;CDI;44923
Safra Grand Vitesse FIRF CP;SAFRA ASSET CTVM S.A.;Safra Asset Management;1000;D+30 (corridos);D+1 (útil);31;0,0025;CDI;43342
Safra Vitesse Classe de Investimento RF CP RL;Safra Asset Management;Safra Asset Management;1000;D+30 (corridos);D+1 (útil);31;0,005;CDI;40771
SulAmérica Crédito ESG FIRF CP LP IS;SulAmérica Investimentos;SulAmérica Investimentos;1000;D+45 (corridos);D+1 (útil);46;0,006;CDI;44172
Novus Crédito FIM CP LP;Novus Crédito Gestão de Recursos Ltda.;BTG Pactual Serviços Financeiros;1000;D+30 (corridos);D+1 (útil);31;0,007;CDI;44819
Safra Polaris Classe de Investimento RF CP RL;Safra DTVM (*);Safra Asset Management;1000;D+15 (corridos);D+1 (útil);16;0,006;CDI;43671
Vinland Crédito 10 FIC FIRF;Vinland Capital Management;BTG Pactual Serviços Financeiros;1000;D+9 (corridos);D+1 (útil);10;0,005;CDI;45321
Compass Yield 30 FIF RF CP LP RL;Compass Group Investimentos;BTG Pactual Serviços Financeiros;500;D+29 (corridos);D+1 (útil);30;0,006;CDI;43971
Augme 30 II CIC de CIRF CP LP RL;Augme Capital;BNY Mellon Serviços Financeiros;500;D+30 (corridos);D+1 (útil);31;0,006;CDI;45197
Plural Crédito Corporativo II FIC de FIF RF CP LP RL;Plural Investimentos;Intrag DTVM;3000;D+30 (corridos);D+1 (útil);31;0,005;CDI;41506
XP Corporate Light FIRF CP LP;XP Asset Management;BNY Mellon Serviços Financeiros;100;D+6 (corridos);D+1 (útil);7;0,005;CDI;40120
BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF;BTG Pactual Asset Management;BTG Pactual Serviços Financeiros;5000;D+30 (corridos);D+1 (útil);31;0,005;CDI;40899
Integral FIRF CP;Integral Investimentos;BTG Pactual Serviços Financeiros;1000;D+29 (corridos);D+1 (útil);30;0,0075;CDI;41023
Western Asset Total Credit Plus FIF;FRANKLIN TEMPLETON BRASIL LTDA.;BNP Paribas;500;D+9 (corridos);D+1 (útil);10;0,0065;CDI;45133
Tríade CIC CLasses FIM CP Resp Limitada;Paramis Investimentos;BTG Pactual Serviços Financeiros;500;D+29 (corridos);D+1 (útil);30;0,0066;CDI;45415
Porto Seguro Ipê RF FIC FI CP LP;Porto Investimentos;Intrag DTVM;3000;D+29 (corridos);D+1 (útil);30;0,005;CDI;43798
Polo Crédito Corporativo Advisory FIC FIF RF CP LP RL;Polo Capital;BNY Mellon Serviços Financeiros;500;D+30 (corridos);D+1 (útil);31;0,005;CDI;43395
Inter Premium FIF RF CP LP RL;Inter Asset Management;Banco Inter DTVM;500;D+14 (corridos);D+1 (útil);15;0,006;CDI;43039
Iridium Titan Advisory FIC em FIF RF CP RL;Iridium Investimentos;BNY Mellon Serviços Financeiros;100;D+30 (corridos);D+1 (útil);31;0,006;CDI;43591
AF Invest Geraes 30 FIRF CP;AF Invest Investimentos;BTG Pactual Serviços Financeiros;500;D+30 (corridos);D+1 (útil);31;0,005;CDI;43187
Sparta Top FIC FIF RF CP LP - Resp Limitada;Sparta Investimentos;BNY Mellon Serviços Financeiros;1000;D+30 (corridos);D+1 (útil);31;0,003;CDI;40946
Augme 30 Advisory CIC RF CP LP RL;Augme Capital;BTG Pactual Serviços Financeiros;500;D+30 (corridos);D+1 (útil);31;0,006;CDI;43612
