"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_meses";"excesso_cdi_aa";"hit_rate_mensal";"hit_rate_6m";"hit_rate_12m";"volatilidade_excesso_aa";"pior_mes";"media_tres_piores_meses";"autocorrelacao_lag1";"max_drawdown_excesso";"meses_para_recuperar";"cluster"
"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090";"2020-01-01";"2026-06-01";"78";"0,020897143351777281";"0,807692307692308";"0,917808219178082";"1,000000000000000";"0,01534038744916271";"-0,025602326891905891";"-0,010781139996753971";"0,00665175594300573";"-0,02560232689190589";"3";"1"
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"2020-06-01";"2026-06-01";"73";"0,020067791129959600";"0,835616438356164";"0,867647058823529";"0,919354838709677";"0,00978327244833325";"-0,005223982767747160";"-0,004539998524402715";"0,45615878122608611";"-0,00708576930528970";"7";"1"
"SulAmérica Crédito ESG FIRF CP LP IS";"SulAmérica Crédito ESG";"SULAMÉRICA CRÉDITO ESG INVEST SUSTENTÁVEL RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2021-01-01";"2026-06-01";"66";"0,015395935788579562";"0,833333333333333";"0,836065573770492";"0,981818181818182";"0,00683094284256867";"-0,005102328692164426";"-0,003843176817979854";"0,40139497290151666";"-0,00917377816866249";"4";"1"
"Integral FIRF CP";"Integral";"INTEGRAL FIF RENDA FIXA";"0,0075";"2012-05-01";"2026-06-01";"170";"0,014602093262450877";"0,823529411764706";"0,836363636363636";"0,817610062893082";"0,01767087248852967";"-0,035726122572943164";"-0,028368086009276983";"0,30149877106975798";"-0,04884309861743696";"8";"1"
"Vinland Crédito Multimercado FIC FI CP";"Vinland Crédito";"VINLAND CRÉDITO RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0070";"2022-11-01";"2026-06-01";"44";"0,013995034858907296";"0,818181818181818";"0,871794871794872";"0,848484848484849";"0,00738268885026755";"-0,004137606202560651";"-0,004064850000573550";"0,47060948034567995";"-0,01239842739190644";NA;"1"
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"2020-08-01";"2026-06-01";"71";"0,013137858960022175";"0,690140845070423";"0,787878787878788";"0,816666666666667";"0,00994063827286379";"-0,006674174165012481";"-0,005964298053902158";"0,29098021538247026";"-0,02058244479771210";"15";"2"
"Root Capital Crédito HG Plus FIC de FIF Multimercado CP RL";"Root Capital Crédito HG Plus";"ROOT CAPITAL CRÉDITO HG PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0104";"2022-01-01";"2026-06-01";"54";"0,012677856477199656";"0,814814814814815";"0,918367346938776";"1,000000000000000";"0,00421396238101507";"-0,003259021936722672";"-0,001867096298098817";"0,41487659751613587";"-0,00524310868892264";NA;"1"
"ARX Everest Advisory FIC de FIF RF CP RL";"ARX Everest Advisory";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070";"2020-02-01";"2026-06-01";"77";"0,012248292710359543";"0,740259740259740";"0,708333333333333";"0,742424242424242";"0,01824009328672104";"-0,022165731538308475";"-0,018358771924815314";"0,35907295110312248";"-0,03692482903035599";"13";"1"
"Polo Crédito Corporativo Advisory FIC FIF RF CP LP RL";"Polo Crédito Corporativo Advisory";"POLO CRÉDITO CORPORATIVO ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2018-11-01";"2026-06-01";"92";"0,011765055868546259";"0,836956521739130";"0,862068965517241";"0,814814814814815";"0,00990996600579074";"-0,014006183062875266";"-0,010097716991130564";"0,33197466198188064";"-0,02456709310827299";"10";"1"
"Novus Crédito FIM CP LP";"Novus Crédito";"NOVUS CRÉDITO HIGH GRADE FI MULTIMERCADO LP";"0,0070";"2022-10-01";"2026-06-01";"45";"0,011640520720932468";"0,688888888888889";"0,675000000000000";"0,823529411764706";"0,00879289491335605";"-0,007728662217706628";"-0,005132647933033104";"0,39585910911759820";"-0,00933713739076425";"3";"1"
"XP Corporate Plus FIC FIF Multi CP RL";"XP Corporate Plus";"XP CORPORATE PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0075";"2016-07-01";"2026-06-01";"120";"0,011518561926476378";"0,775000000000000";"0,756521739130435";"0,651376146788991";"0,01944311025020497";"-0,039118341230294895";"-0,023731822157095610";"0,37192594833435122";"-0,05524096618930352";"13";"1"
"Sparta Max Advisory FIC de FIF RF CP LP RL";"Sparta Max Advisory";"SPARTA MAX ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0035";"2019-05-01";"2026-06-01";"86";"0,011248794618361702";"0,779069767441861";"0,740740740740741";"0,666666666666667";"0,01804343952555575";"-0,033006495954762904";"-0,019669351912247095";"0,35756673595396715";"-0,03906721556790205";"7";"1"
"Bocom BBM Corporate Credit II FIF RF CP RL";"Bocom BBM Corporate Credit II";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2023-05-01";"2026-06-01";"38";"0,010919685845205196";"0,763157894736842";"0,878787878787879";"1,000000000000000";"0,00452052466000752";"-0,003203442621844688";"-0,001749174615640799";"0,14628765270986316";"-0,00320344262184458";"5";"1"
"Porto Seguro Ipê RF FIC FI CP LP";"Porto Seguro Ipê";"PORTO SEGURO IPÊ RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2019-12-01";"2026-06-01";"79";"0,010716183081906028";"0,822784810126582";"0,810810810810811";"0,882352941176471";"0,01516331573587135";"-0,031041274467750624";"-0,014857236837754972";"0,34894317644991635";"-0,03963402298106433";"9";"1"
"Iridium Titan Advisory FIC em FIF RF CP RL";"Iridium Titan Advisory";"IRIDIUM TITAN ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2019-05-01";"2026-06-01";"86";"0,010284484981853081";"0,779069767441861";"0,790123456790123";"0,760000000000000";"0,01084931453071367";"-0,016649468369632658";"-0,011142797643068284";"0,47052644616058953";"-0,02785041828435364";"8";"1"
"Absolute Creta Advisory FIF FIRF";"Absolute Creta Advisory";"ABSOLUTE CRETA ADVISORY FIF CIC RENDA FIXA";"0,0058";"2022-11-01";"2026-06-01";"44";"0,010273041654651482";"0,704545454545455";"0,743589743589744";"0,848484848484849";"0,00838424260147245";"-0,006153880150329250";"-0,004837151757637252";"0,31819646430123077";"-0,01406972434535125";NA;"1"
"Principal Claritas FIF RF";"Principal Claritas";"PRINCIPAL CLARITAS FIF RENDA FIXA";"0,0050";"2010-05-01";"2026-06-01";"194";"0,009273913518116794";"0,860824742268041";"0,825396825396825";"0,912568306010929";"0,00917386273983674";"-0,029372842240102948";"-0,013983180245839147";"0,27095734629689927";"-0,03837070679481325";"13";"1"
"JGP Corporate FIC de FIF RF CP LP FEEDER II RL";"JGP Corporate FEEDER II";"JGP CORPORATE FEEDER III RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2016-07-01";"2026-06-01";"120";"0,009165065206993672";"0,825000000000000";"0,773913043478261";"0,706422018348624";"0,01765490283492915";"-0,045664578484089335";"-0,021877959983741386";"0,29006529302363293";"-0,05762343980184326";"13";"1"
"Occam Crédito Corporativo 30 FIC FIF RF CP LP RL";"Occam Crédito Corporativo 30";"OCCAM CRÉDITO CORPORATIVO 30 RESP LIMITADA FIF CIC RENDA FIXA";"0,0060";"2023-01-01";"2026-06-01";"42";"0,009107200567740170";"0,761904761904762";"0,756756756756757";"0,967741935483871";"0,00682232762156579";"-0,006045076099461366";"-0,004104024163082975";"0,34671567845654527";"-0,00742080708958281";"3";"1"
"Vinland Crédito 10 FIC FIRF";"Vinland Crédito 10";"VINLAND CRÉDITO 10 FIC RENDA FIXA";"0,0050";"2024-02-01";"2026-06-01";"29";"0,009097575175584627";"0,724137931034483";"0,791666666666667";"0,888888888888889";"0,00606703312691904";"-0,004755858871676955";"-0,002749883364825586";"0,11841508207439304";"-0,00475585887167707";"3";"1"
"Augme 30 II CIC de CIRF CP LP RL";"Augme 30 II";"AUGME 30 II RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2023-10-01";"2026-06-01";"33";"0,009077268223304680";"0,666666666666667";"0,857142857142857";"0,909090909090909";"0,00704409070513147";"-0,005385812104749310";"-0,003323156476540171";"-0,04088225992115094";"-0,00826972567431239";NA;"1"
"SPX Seahawk Advisory FIC FIRF CP LP";"SPX Seahawk Advisory";"SPX SEAHAWK ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2020-01-01";"2026-06-01";"78";"0,008970721182759656";"0,833333333333333";"0,726027397260274";"0,716417910447761";"0,02166777685869560";"-0,042482670637400077";"-0,023116882041681237";"0,25017666919891368";"-0,04501796188486751";"9";"1"
"Atena Yield D30 FIC de FIF RF CP RL";"Atena Yield D30";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085";"2019-01-01";"2026-06-01";"90";"0,008660814323839139";"0,888888888888889";"0,894117647058824";"1,000000000000000";"0,00296190132207902";"-0,002797618892528497";"-0,002364365416813655";"0,17447493996528346";"-0,00453894040123348";"6";"1"
"BTG Pactual Crédito Corporativo I FIF em Cotas de FIRF";"BTG Pactual Crédito Corporativo I";"BTG PACTUAL CRÉDITO CORPORATIVO I FIF CIC RENDA FIXA";"0,0050";"2012-01-01";"2026-06-01";"174";"0,008522789664149322";"0,873563218390805";"0,822485207100592";"0,815950920245399";"0,01474228854547049";"-0,031941493642483221";"-0,026154891209579218";"0,56894717588220567";"-0,07129162486603235";"22";"1"
"Safra Polaris Classe de Investimento RF CP RL";"Safra Polaris";"SAFRA POLARIS RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2019-08-01";"2026-06-01";"83";"0,008201172852079663";"0,759036144578313";"0,705128205128205";"0,861111111111111";"0,01393819983872835";"-0,030876620259836507";"-0,012863003868377354";"0,13336491400395442";"-0,03255976251783232";"9";"1"
"Daycoval Classic 30 FIRF CP";"Daycoval Classic 30";"DAYCOVAL CLASSIC 30 FIF";"0,0040";"2018-07-01";"2026-06-01";"96";"0,007963460447077519";"0,875000000000000";"0,780219780219780";"0,729411764705882";"0,01279468872837838";"-0,025643098811890530";"-0,015376206058436592";"0,43700423675548739";"-0,03433686692948590";"11";"1"
"BNP Paribas Match Plus 30 Advisory FIF RF CP LP RL";"BNP Paribas Match Plus 30 Advisory";"BNP PARIBAS MATCH PLUS 30 ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0065";"2023-04-01";"2026-06-01";"39";"0,007796221644291057";"0,871794871794872";"0,882352941176471";"0,964285714285714";"0,00448812141563022";"-0,004783935660122141";"-0,002261371910228090";"0,06742159064821922";"-0,00554352812016001";NA;"1"
"Bradesco Ultra II FIF - CIC RF CP LP - RL";"Bradesco Ultra II";"BRADESCO ULTRA II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2024-07-01";"2026-06-01";"24";"0,007397978540435446";"0,750000000000000";"0,894736842105263";"1,000000000000000";"0,00467307461939654";"-0,003005881671382271";"-0,001958831736855441";"0,01485832258286931";"-0,00310226267317582";"2";"1"
"XP Corporate Top CP FIF FIRF LP RL";"XP Corporate Top";"XP CORPORATE TOP RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0075";"2003-03-01";"2026-06-01";"280";"0,007168237599647354";"0,857142857142857";"0,854545454545454";"0,836431226765799";"0,00882854473206779";"-0,024317670742489472";"-0,018215229955711714";"0,46059838963097904";"-0,04390234278853833";"16";"1"
"Sparta Top FIC FIF RF CP LP - Resp Limitada";"Sparta Top";"SPARTA TOP RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0030";"2012-03-01";"2026-06-01";"172";"0,007062355796904285";"0,854651162790698";"0,844311377245509";"0,770186335403727";"0,01350212752048500";"-0,040336000829606977";"-0,021429607730981681";"0,30780729492925385";"-0,05162152524010621";"13";"1"
"Augme 30 Advisory CIC RF CP LP RL";"Augme 30 Advisory";"AUGME 30 ADVISORY FIF CIC RENDA FIXA";"0,0060";"2019-06-01";"2026-06-01";"85";"0,006956948333098456";"0,764705882352941";"0,762500000000000";"0,689189189189189";"0,01486107502358732";"-0,024696199499742999";"-0,017602818401164917";"0,17795370716370484";"-0,02866113154516592";"12";"1"
"AZ Quest Altro Advisory FIC de FIF Multimercado CP";"AZ Quest Altro Advisory";"AZ QUEST ALTRO ADVISORY FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0080";"2019-10-01";"2026-06-01";"81";"0,006943712340960806";"0,753086419753086";"0,776315789473684";"0,700000000000000";"0,02720297795085474";"-0,051719118499768624";"-0,029329096217569739";"0,37553372260262485";"-0,06246422992448830";"11";"1"
"Persevera Yield FIRF LP";"Persevera Yield";"PERSEVERA YIELD FI RENDA FIXA LP";"0,0070";"2023-10-01";"2026-06-01";"33";"0,006912477107878123";"0,878787878787879";"1,000000000000000";"1,000000000000000";"0,00169181153717285";"-0,000850459177189955";"-0,000494844733772259";"0,13786340060859842";"-0,00102066346293794";"3";"4"
"Tríade CIC CLasses FIM CP Resp Limitada";"Tríade";"TRÍADE FIF CIC MULTIMERCADO";"0,0066";"2024-05-01";"2026-06-01";"25";"0,006903821411217148";"0,760000000000000";"0,600000000000000";"1,000000000000000";"0,00580820865353839";"-0,004026013217584334";"-0,002305033667313087";"-0,01126793619086807";"-0,00429905107651141";"4";"1"
"Arx Vinson Advisory FIC de FIF RF CP RL";"Arx Vinson Advisory";"ARX VINSON ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2021-08-01";"2026-06-01";"59";"0,006900793551405382";"0,728813559322034";"0,759259259259259";"0,666666666666667";"0,00900820785460179";"-0,008922274480915982";"-0,007920418133842996";"0,57885651935805238";"-0,02531607622128795";"16";"1"
"SulAmérica Crédito Ativo FIRF CP LP";"SulAmérica Crédito Ativo";"SULAMÉRICA CRÉDITO ATIVO RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2012-04-01";"2026-06-01";"171";"0,006625557102764468";"0,777777777777778";"0,807228915662651";"0,843750000000000";"0,01109739734383770";"-0,031681190463560327";"-0,018311156766739001";"0,41617799141335721";"-0,05235852646447758";"21";"1"
"JGP Crédito Advisory FIF Multimercado CP RL";"JGP Crédito Advisory";"JGP CRÉDITO ADVISORY RESP LIMITADA FIF MULTIMERCADO CRÉDITO PRIVADO";"0,0110";"2018-01-01";"2026-06-01";"102";"0,006459503565982461";"0,735294117647059";"0,762886597938144";"0,747252747252747";"0,03046634334978810";"-0,079403085865454193";"-0,034178958880791588";"0,20718824367635211";"-0,08959389713187027";"23";"1"
"Safra Vitesse Classe de Investimento RF CP RL";"Safra Vitesse";"SAFRA VITESSE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0050";"2011-09-01";"2026-06-01";"178";"0,006379703761300703";"0,842696629213483";"0,861271676300578";"0,904191616766467";"0,01433996012999645";"-0,040432990826013482";"-0,023750786577920440";"0,48934870403476366";"-0,07609832305205266";"23";"1"
"Western Asset Total Credit Plus FIF";"Western Asset Total Credit Plus";"WESTERN ASSET TOTAL CREDIT PLUS CI RESP LIMITADA RENDA FIXA CRÉDITO PRIVADO";"0,0065";"2023-08-01";"2026-06-01";"35";"0,006147599829922523";"0,628571428571429";"0,500000000000000";"0,625000000000000";"0,00536006835651720";"-0,003311875199541681";"-0,002137373651709999";"0,24241391897702766";"-0,00593936428602826";NA;"1"
"Tivio Institucional 15";"Tivio Institucional 15";"TIVIO INSTITUCIONAL 15 RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2002-03-01";"2026-06-01";"292";"0,005925157248311219";"0,780821917808219";"0,696864111498258";"0,654804270462633";"0,02148017156140635";"-0,024447344511079216";"-0,017204545337339765";"-0,02152794079817320";"-0,05125997518964476";"10";"5"
"BNP Paribas Rubi FIF RF CP RL";"BNP Paribas Rubi";"BNP PARIBAS RUBI RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0040";"2015-01-01";"2026-06-01";"138";"0,005712338450646337";"0,847826086956522";"0,902255639097744";"0,881889763779528";"0,00966191735372636";"-0,028757367121927446";"-0,012550737102426268";"0,20843877182201595";"-0,03831212111917581";"22";"1"
"Valora Absolute FIF RF CP LP RL";"Valora Absolute";"VALORA ABSOLUTE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2009-02-01";"2026-06-01";"209";"0,005582590206246962";"0,889952153110048";"0,877450980392157";"0,853535353535353";"0,01127728055474708";"-0,030562276658677057";"-0,020142677428424387";"0,44451772480782964";"-0,04779351297568457";"9";"1"
"Safra Grand Vitesse FIRF CP";"Safra Grand Vitesse";"SAFRA GRAND VITESSE RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO";"0,0025";"2018-09-01";"2026-06-01";"94";"0,005553038222833484";"0,755319148936170";"0,741573033707865";"0,734939759036145";"0,01934925807763453";"-0,041253284289388681";"-0,023088381196805008";"0,37773122015123645";"-0,07009839518948091";"21";"1"
"XP Corporate Light FIRF CP LP";"XP Corporate Light";"XP CORPORATE LIGHT RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2009-11-01";"2026-06-01";"200";"0,004488221244995039";"0,790000000000000";"0,779487179487179";"0,788359788359788";"0,01027973128452519";"-0,026621536143166757";"-0,018164782216881410";"0,44895494663497609";"-0,04650813491870787";"18";"1"
"Riza Lotus Plus Advisory FIF RF";"Riza Lotus Plus Advisory";"RIZA LÓTUS PLUS ADVISORY FIF CIC RENDA FIXA";"0,0050";"2021-11-01";"2026-06-01";"56";"0,004124906827828845";"0,732142857142857";"0,607843137254902";"0,511111111111111";"0,01175508065153018";"-0,017840500024697503";"-0,009967750274250750";"0,28139402438971461";"-0,03050551657645384";"21";"5"
"Plural Crédito Corporativo II FIC de FIF RF CP LP RL";"Plural Crédito Corporativo II";"PLURAL CRÉDITO CORPORATIVO II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2013-10-01";"2026-06-01";"153";"0,003724357572653991";"0,849673202614379";"0,810810810810811";"0,859154929577465";"0,01646976010915072";"-0,052444417272143329";"-0,024467219087055219";"0,33601892452471604";"-0,07234257853639103";"47";"1"
"AF Invest Geraes 30 FIRF CP";"AF Invest Geraes 30";"AF INVEST GERAES 30 FIF RENDA FIXA";"0,0050";"2018-04-01";"2026-06-01";"99";"0,003243475698695208";"0,757575757575758";"0,691489361702128";"0,670454545454545";"0,01901874305352775";"-0,032748942887779298";"-0,026103919920710483";"0,50219954036167858";"-0,05964547369492690";"24";"1"
"Selection RF Light FIC FIRF CP LP";"Selection Light";"SELECTION RF LIGHT FIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0031";"2016-09-01";"2026-06-01";"118";"0,002733413318199762";"0,771186440677966";"0,716814159292035";"0,644859813084112";"0,01220889965131822";"-0,028195389424590656";"-0,017661197510049870";"0,43963192195680983";"-0,04475988748843596";"23";"1"
"Mag High Grade Plus 30 FIF RF CP LP RL";"Mag High Grade Plus 30";"MAG HIGH GRADE PLUS 30 RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0064";"2023-06-01";"2026-06-01";"37";"0,002234192177385408";"0,567567567567568";"0,718750000000000";"0,884615384615385";"0,00327725485163680";"-0,002974208749027762";"-0,001978432874851962";"0,09172964030663076";"-0,00478380927294630";"5";"3"
"Capitânia Premium 45 FIC de FIF RF CP LP RL";"Capitânia Premium 45";"CAPITÂNIA PREMIUM 45 RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0055";"2014-11-01";"2026-06-01";"140";"0,000548715701705227";"0,635714285714286";"0,659259259259259";"0,658914728682170";"0,01468192551908862";"-0,021131354162272409";"-0,017130866808337680";"0,45043088732940362";"-0,09303666750215300";NA;"1"
"Inter Premium FIF RF CP LP RL";"Inter Premium";"INTER PREMIUM RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2017-11-01";"2026-06-01";"104";"-0,000979002970895260";"0,711538461538462";"0,696969696969697";"0,634408602150538";"0,02044290565047840";"-0,038524179740767717";"-0,029885419198431167";"0,40295403516588696";"-0,07423231819114751";NA;"1"
"BB Asset RF CP LP FIC FIF RL";"BB Asset";"BB ASSET RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2022-06-01";"2026-06-01";"49";"-0,003748556238243106";"0,632653061224490";"0,477272727272727";"0,447368421052632";"0,01130280902705532";"-0,008553474722849064";"-0,007809622260001666";"0,42694646195502617";"-0,02777977244329555";NA;"1"
