"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"inicio_serie_diaria";"fim_serie_diaria";"n_retornos_diarios";"revisar";"serie_atualizada";"elegivel_etapa2";"motivo_inelegibilidade_etapa2";"inicio_serie_mensal";"fim_serie_mensal";"n_meses_completos";"excesso_cdi_aa";"hit_rate_mensal";"hit_rate_6m";"n_janelas_36m";"hit_rate_36m";"volatilidade_excesso_aa";"pior_mes";"media_tres_piores_meses";"autocorrelacao_lag1";"max_drawdown_excesso";"meses_para_recuperar";"cluster";"correlacao_media_pares";"correlacao_mediana_pares";"correlacao_maxima";"fundo_mais_correlacionado";"meses_em_comum_com_par_mais_proximo";"benchmark_menor_tracking_error";"menor_tracking_error_aa";"benchmark_maior_correlacao";"maior_correlacao";"n_meses_ida_liq_di";"n_meses_ida_di";"n_meses_irfm_1";"correlacao_ida_liq_di";"correlacao_ida_di";"correlacao_irfm_1";"tracking_error_aa_ida_liq_di";"tracking_error_aa_ida_di";"tracking_error_aa_irfm_1";"excesso_benchmark_aa_ida_liq_di";"excesso_benchmark_aa_ida_di";"excesso_benchmark_aa_irfm_1";"hit_rate_mensal_ida_liq_di";"hit_rate_mensal_ida_di";"hit_rate_mensal_irfm_1";"elegivel_ranking";"motivo_inelegibilidade_ranking"
"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090";"2019-12-30";"2026-06-30";"1631";FALSE;TRUE;TRUE;NA;"2020-01-01";"2026-06-01";"78";"0,020897143351777281";"0,807692307692308";"0,917808219178082";"43";"1,000000000000000";"0,01534038744916271";"-0,02560232689190589";"-0,01078113999675397";"0,00665175594300573";"-0,02560232689190589";"3";"1";"0,570013379400933";"0,568476320908953";"0,891258166901900";"Bocom BBM Corporate Credit II";"38";"IDA-DI";"0,01571081952147311";"IDA-DI";"0,806745446522775";"78";"78";"78";"0,612438728260302";"0,806745446522775";"-0,062398395971013113";"0,0400166959424171";"0,01571081952147311";"0,01654002494776707";"0,027690744309516457";"0,009638100220514811";"0,023433126782541613";"0,474358974358974";"0,448717948717949";"0,820512820512820";TRUE;NA
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"2020-05-21";"2026-06-30";"1534";FALSE;TRUE;TRUE;NA;"2020-06-01";"2026-06-01";"73";"0,020067791129959600";"0,835616438356164";"0,867647058823529";"38";"1,000000000000000";"0,00978327244833325";"-0,00522398276774716";"-0,00453999852440271";"0,45615878122608611";"-0,00708576930528970";"7";"1";"0,536249639443069";"0,548754709812419";"0,764252729472862";"Plural Crédito Corporativo II";"73";"IDA-DI";"0,01026778745060310";"IDA-DI";"0,650540847550394";"73";"73";"73";"0,510246769679975";"0,650540847550394";"0,129002264606347977";"0,0366749569846306";"0,01026778745060310";"0,01049936577881182";"0,019617287832201402";"0,000703060123325772";"0,024034769577869319";"0,410958904109589";"0,438356164383562";"0,753424657534247";TRUE;NA
"SulAmérica Crédito ESG FIRF CP LP IS";"SulAmérica Crédito ESG";"SULAMÉRICA CRÉDITO ESG INVEST SUSTENTÁVEL RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2020-12-08";"2026-06-30";"1395";FALSE;TRUE;TRUE;NA;"2021-01-01";"2026-06-01";"66";"0,015395935788579562";"0,833333333333333";"0,836065573770492";"31";"1,000000000000000";"0,00683094284256867";"-0,00510232869216443";"-0,00384317681797985";"0,40139497290151666";"-0,00917377816866249";"4";"1";"0,610509016906555";"0,615510236790810";"0,882342771461098";"SulAmérica Crédito Ativo";"66";"IDA-DI";"0,00952358269300273";"IDA-DI";"0,673897923898873";"66";"66";"66";"0,414437699398838";"0,673897923898873";"-0,416968992840561381";"0,0393577977619827";"0,00952358269300273";"0,01038280603409883";"0,023091957045341172";"0,001066459748297222";"0,020303919554053973";"0,393939393939394";"0,439393939393939";"0,803030303030303";TRUE;NA
"Integral FIRF CP";"Integral";"INTEGRAL FIF RENDA FIXA";"0,0075";"2012-04-25";"2026-06-30";"3560";FALSE;TRUE;TRUE;NA;"2012-05-01";"2026-06-01";"170";"0,014602093262450877";"0,823529411764706";"0,836363636363636";"135";"0,977777777777778";"0,01767087248852967";"-0,03572612257294316";"-0,02836808600927698";"0,30149877106975798";"-0,04884309861743696";"8";"1";"0,699510452428344";"0,711204029607037";"0,913061565065470";"Porto Seguro Ipê";"79";"IDA-DI";"0,01565732321856873";"IDA-DI";"0,596169809781141";"102";"170";"170";"0,579000303517743";"0,596169809781141";"-0,000177197614423934";"0,0346665101545442";"0,01565732321856873";"0,01836029491430267";"0,014801861351734447";"0,004376297642071814";"0,014063568986841801";"0,431372549019608";"0,500000000000000";"0,747058823529412";TRUE;NA
"Vinland Crédito Multimercado FIC FI CP";"Vinland Crédito";"VINLAND CRÉDITO RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0070";"2022-10-28";"2026-06-30";"920";FALSE;TRUE;TRUE;NA;"2022-11-01";"2026-06-01";"44";"0,013995034858907296";"0,818181818181818";"0,871794871794872";"9";"1,000000000000000";"0,00738268885026755";"-0,00413760620256065";"-0,00406485000057355";"0,47060948034567995";"-0,01239842739190644";NA;"1";"0,565550500172169";"0,569112427322542";"0,866583472841115";"Absolute Creta Advisory";"44";"IRF-M 1";"0,00744930674780681";"IDA-DI";"0,610542732315133";"44";"44";"44";"0,357705502853988";"0,610542732315133";"0,222037522933397513";"0,0482445074381760";"0,01216417056144719";"0,00744930674780681";"0,039934427160670749";"0,005405640594304151";"0,016606186141055579";"0,386363636363636";"0,454545454545455";"0,795454545454545";TRUE;NA
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"2020-08-03";"2026-06-30";"1483";FALSE;TRUE;TRUE;NA;"2020-08-01";"2026-06-01";"71";"0,013137858960022175";"0,690140845070423";"0,787878787878788";"36";"1,000000000000000";"0,00994063827286379";"-0,00667417416501248";"-0,00596429805390216";"0,29098021538247026";"-0,02058244479771210";"15";"3";"0,459658064036292";"0,470619050775417";"0,574161529260813";"JGP Crédito Advisory";"71";"IDA-DI";"0,01104359036807582";"IDA-DI";"0,533667984195177";"71";"71";"71";"0,386339133456500";"0,533667984195177";"-0,009204891791439303";"0,0376027527398457";"0,01104359036807582";"0,01131544837978969";"0,017198321732184718";"-0,003171450361711403";"0,017380175611654503";"0,436619718309859";"0,436619718309859";"0,732394366197183";TRUE;NA
"Root Capital Crédito HG Plus FIC de FIF Multimercado CP RL";"Root Capital Crédito HG Plus";"ROOT CAPITAL CRÉDITO HG PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0104";"2021-12-31";"2026-06-30";"1128";FALSE;TRUE;TRUE;NA;"2022-01-01";"2026-06-01";"54";"0,012677856477199656";"0,814814814814815";"0,918367346938776";"19";"1,000000000000000";"0,00421396238101507";"-0,00325902193672267";"-0,00186709629809882";"0,41487659751613587";"-0,00524310868892264";NA;"1";"0,590666290559200";"0,605331708812474";"0,843082629361238";"Polo Crédito Corporativo Advisory";"54";"IRF-M 1";"0,00492830287594014";"IDA-DI";"0,647665853415281";"54";"54";"54";"0,264917392566482";"0,647665853415281";"0,157695508980538968";"0,0448875912157278";"0,01146741666402870";"0,00492830287594014";"0,028267471960213619";"0,001909981180618914";"0,015461144512769032";"0,333333333333333";"0,407407407407407";"0,814814814814815";TRUE;NA
"ARX Everest Advisory FIC de FIF RF CP RL";"ARX Everest Advisory";"ARX EVEREST ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0070";"2020-02-06";"2026-06-30";"1604";FALSE;TRUE;TRUE;NA;"2020-02-01";"2026-06-01";"77";"0,012248292710359543";"0,740259740259740";"0,708333333333333";"42";"0,976190476190476";"0,01824009328672104";"-0,02216573153830848";"-0,01835877192481531";"0,35907295110312248";"-0,03692482903035599";"13";"1";"0,598836645423030";"0,648359149405880";"0,822531783408792";"Iridium Titan Advisory";"77";"IDA-DI";"0,01918242782428473";"IDA-DI";"0,661843363554883";"77";"77";"77";"0,546126857097191";"0,661843363554883";"-0,184848278141652667";"0,0405962799917996";"0,01918242782428473";"0,01993560998118349";"0,019435902459086662";"0,001152251877797550";"0,014948291559875315";"0,506493506493506";"0,701298701298701";"0,701298701298701";TRUE;NA
"Polo Crédito Corporativo Advisory FIC FIF RF CP LP RL";"Polo Crédito Corporativo Advisory";"POLO CRÉDITO CORPORATIVO ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2018-10-23";"2026-06-30";"1929";FALSE;TRUE;TRUE;NA;"2018-11-01";"2026-06-01";"92";"0,011765055868546259";"0,836956521739130";"0,862068965517241";"57";"1,000000000000000";"0,00990996600579074";"-0,01400618306287527";"-0,01009771699113056";"0,33197466198188064";"-0,02456709310827299";"10";"1";"0,642378248990600";"0,678202701894900";"0,847714939203756";"Absolute Creta Advisory";"44";"IRF-M 1";"0,01154278493373314";"IDA-DI";"0,598169791057081";"92";"92";"92";"0,374279344741482";"0,598169791057081";"-0,088666962350296377";"0,0412563202904879";"0,01942618436079728";"0,01154278493373314";"0,017912469004803588";"0,002515793832359003";"0,012762115936785667";"0,500000000000000";"0,489130434782609";"0,728260869565217";TRUE;NA
"Novus Crédito FIM CP LP";"Novus Crédito";"NOVUS CRÉDITO HIGH GRADE FI MULTIMERCADO LP";"0,0070";"2022-09-16";"2026-06-30";"949";FALSE;TRUE;TRUE;NA;"2022-10-01";"2026-06-01";"45";"0,011640520720932468";"0,688888888888889";"0,675000000000000";"10";"1,000000000000000";"0,00879289491335605";"-0,00772866221770663";"-0,00513264793303310";"0,39585910911759820";"-0,00933713739076425";"3";"1";"0,674881797172606";"0,680179023850495";"0,888324643194418";"Bocom BBM Corporate Credit II";"38";"IRF-M 1";"0,00884883282562702";"IDA-DI";"0,797205634306080";"45";"45";"45";"0,503471613759314";"0,797205634306080";"0,184282871938871162";"0,0460410595747213";"0,00956926961572702";"0,00884883282562702";"0,036007487474530420";"0,002786513822679249";"0,014234486151372794";"0,400000000000000";"0,466666666666667";"0,733333333333333";TRUE;NA
