"nome_plot";"bloco";"nota";"quartil_bloco";"classificacao_bloco"
"Persevera Yield";"score_consistencia";"0,93725490196078431";"1";"Q1 - Destaque"
"Atena Yield D30";"score_consistencia";"0,92549019607843142";"1";"Q1 - Destaque"
"BNP Paribas Match Plus 30 Advisory";"score_consistencia";"0,86666666666666670";"1";"Q1 - Destaque"
"Valora Absolute";"score_consistencia";"0,81176470588235294";"1";"Q1 - Destaque"
"Principal Claritas";"score_consistencia";"0,79607843137254908";"1";"Q1 - Destaque"
"Root Capital Crédito HG Plus";"score_consistencia";"0,79215686274509811";"1";"Q1 - Destaque"
"Compass Yield 30";"score_consistencia";"0,78039215686274521";"1";"Q1 - Destaque"
"BOCOM BBM Corporate Credit Plus MULT";"score_consistencia";"0,78039215686274521";"1";"Q1 - Destaque"
"BNP Paribas Rubi";"score_consistencia";"0,77647058823529402";"1";"Q1 - Destaque"
"Safra Vitesse";"score_consistencia";"0,76470588235294112";"1";"Q1 - Destaque"
"SulAmérica Crédito ESG";"score_consistencia";"0,76078431372549038";"1";"Q1 - Destaque"
"XP Corporate Top";"score_consistencia";"0,70196078431372555";"1";"Q1 - Destaque"
"Plural Crédito Corporativo II";"score_consistencia";"0,69803921568627447";"1";"Q1 - Destaque"
"Bocom BBM Corporate Credit II";"score_consistencia";"0,69019607843137254";"2";"Q2 - Aprovado"
"BTG Pactual Crédito Corporativo I";"score_consistencia";"0,67450980392156867";"2";"Q2 - Aprovado"
"Porto Seguro Ipê";"score_consistencia";"0,65098039215686287";"2";"Q2 - Aprovado"
"Bradesco Ultra II";"score_consistencia";"0,64705882352941180";"2";"Q2 - Aprovado"
"Vinland Crédito";"score_consistencia";"0,64313725490196072";"2";"Q2 - Aprovado"
"Polo Crédito Corporativo Advisory";"score_consistencia";"0,63529411764705890";"2";"Q2 - Aprovado"
"Sparta Top";"score_consistencia";"0,63529411764705890";"2";"Q2 - Aprovado"
"Integral";"score_consistencia";"0,59999999999999998";"2";"Q2 - Aprovado"
"Daycoval Classic 30";"score_consistencia";"0,59215686274509804";"2";"Q2 - Aprovado"
"Occam Crédito Corporativo 30";"score_consistencia";"0,56470588235294117";"2";"Q2 - Aprovado"
"SulAmérica Crédito Ativo";"score_consistencia";"0,52941176470588236";"2";"Q2 - Aprovado"
"Tríade";"score_consistencia";"0,50980392156862742";"2";"Q2 - Aprovado"
"Augme 30 II";"score_consistencia";"0,48627450980392162";"2";"Q2 - Aprovado"
"XP Corporate Light";"score_consistencia";"0,48627450980392151";"3";"Q3 - Observação"
"Vinland Crédito 10";"score_consistencia";"0,47058823529411770";"3";"Q3 - Observação"
"JGP Corporate FEEDER II";"score_consistencia";"0,46274509803921571";"3";"Q3 - Observação"
"Iridium Titan Advisory";"score_consistencia";"0,45882352941176474";"3";"Q3 - Observação"
"SPX Seahawk Advisory";"score_consistencia";"0,44313725490196082";"3";"Q3 - Observação"
"Safra Polaris";"score_consistencia";"0,43529411764705889";"3";"Q3 - Observação"
"Absolute Creta Advisory";"score_consistencia";"0,34509803921568627";"3";"Q3 - Observação"
"Ibiuna Credit";"score_consistencia";"0,33725490196078434";"3";"Q3 - Observação"
"Augme 30 Advisory";"score_consistencia";"0,33725490196078434";"3";"Q3 - Observação"
"Mag High Grade Plus 30";"score_consistencia";"0,32941176470588240";"3";"Q3 - Observação"
"Sparta Max Advisory";"score_consistencia";"0,32156862745098042";"3";"Q3 - Observação"
"JGP Crédito Advisory";"score_consistencia";"0,31764705882352939";"3";"Q3 - Observação"
"Safra Grand Vitesse";"score_consistencia";"0,30980392156862746";"3";"Q3 - Observação"
"AZ Quest Altro Advisory";"score_consistencia";"0,30196078431372553";"4";"Q4 - Descartado"
"Tivio Institucional 15";"score_consistencia";"0,29411764705882359";"4";"Q4 - Descartado"
"XP Corporate Plus";"score_consistencia";"0,29411764705882348";"4";"Q4 - Descartado"
"ARX Everest Advisory";"score_consistencia";"0,27450980392156865";"4";"Q4 - Descartado"
"Novus Crédito";"score_consistencia";"0,26274509803921570";"4";"Q4 - Descartado"
"Selection Light";"score_consistencia";"0,25490196078431376";"4";"Q4 - Descartado"
"AF Invest Geraes 30";"score_consistencia";"0,23529411764705882";"4";"Q4 - Descartado"
"Arx Vinson Advisory";"score_consistencia";"0,21568627450980393";"4";"Q4 - Descartado"
"Inter Premium";"score_consistencia";"0,11764705882352941";"4";"Q4 - Descartado"
"Riza Lotus Plus Advisory";"score_consistencia";"0,10588235294117648";"4";"Q4 - Descartado"
"Capitânia Premium 45";"score_consistencia";"0,09411764705882353";"4";"Q4 - Descartado"
"Western Asset Total Credit Plus";"score_consistencia";"0,02745098039215686";"4";"Q4 - Descartado"
"BB Asset";"score_consistencia";"0,01568627450980392";"4";"Q4 - Descartado"
"Sparta Top";"score_custo";"0,96470588235294108";"1";"Q1 - Destaque"
"Sparta Max Advisory";"score_custo";"0,95686274509803915";"1";"Q1 - Destaque"
"Safra Grand Vitesse";"score_custo";"0,95294117647058818";"1";"Q1 - Destaque"
"Daycoval Classic 30";"score_custo";"0,87058823529411766";"1";"Q1 - Destaque"
"Polo Crédito Corporativo Advisory";"score_custo";"0,74509803921568629";"1";"Q1 - Destaque"
"BNP Paribas Rubi";"score_custo";"0,74509803921568629";"1";"Q1 - Destaque"
"Porto Seguro Ipê";"score_custo";"0,72156862745098049";"1";"Q1 - Destaque"
"Principal Claritas";"score_custo";"0,69019607843137254";"1";"Q1 - Destaque"
"Vinland Crédito 10";"score_custo";"0,67450980392156867";"1";"Q1 - Destaque"
"Selection Light";"score_custo";"0,64705882352941169";"1";"Q1 - Destaque"
"Absolute Creta Advisory";"score_custo";"0,64313725490196083";"1";"Q1 - Destaque"
"BTG Pactual Crédito Corporativo I";"score_custo";"0,63529411764705879";"1";"Q1 - Destaque"
"Compass Yield 30";"score_custo";"0,59999999999999998";"1";"Q1 - Destaque"
"SulAmérica Crédito ESG";"score_custo";"0,58431372549019611";"2";"Q2 - Aprovado"
"Arx Vinson Advisory";"score_custo";"0,57254901960784310";"2";"Q2 - Aprovado"
"Safra Vitesse";"score_custo";"0,55686274509803924";"2";"Q2 - Aprovado"
"Tivio Institucional 15";"score_custo";"0,52549019607843139";"2";"Q2 - Aprovado"
"Valora Absolute";"score_custo";"0,50980392156862742";"2";"Q2 - Aprovado"
"Bocom BBM Corporate Credit II";"score_custo";"0,50588235294117645";"2";"Q2 - Aprovado"
"Iridium Titan Advisory";"score_custo";"0,46666666666666667";"2";"Q2 - Aprovado"
"XP Corporate Light";"score_custo";"0,45490196078431372";"2";"Q2 - Aprovado"
"Vinland Crédito";"score_custo";"0,44313725490196082";"2";"Q2 - Aprovado"
"JGP Corporate FEEDER II";"score_custo";"0,43529411764705883";"2";"Q2 - Aprovado"
"Riza Lotus Plus Advisory";"score_custo";"0,43137254901960786";"2";"Q2 - Aprovado"
"Occam Crédito Corporativo 30";"score_custo";"0,42745098039215684";"2";"Q2 - Aprovado"
"Plural Crédito Corporativo II";"score_custo";"0,42352941176470588";"2";"Q2 - Aprovado"
"Augme 30 II";"score_custo";"0,41960784313725491";"3";"Q3 - Observação"
"AF Invest Geraes 30";"score_custo";"0,41568627450980389";"3";"Q3 - Observação"
"SPX Seahawk Advisory";"score_custo";"0,41176470588235292";"3";"Q3 - Observação"
"Integral";"score_custo";"0,39215686274509809";"3";"Q3 - Observação"
"ARX Everest Advisory";"score_custo";"0,38823529411764712";"3";"Q3 - Observação"
"Safra Polaris";"score_custo";"0,38823529411764701";"3";"Q3 - Observação"
"BOCOM BBM Corporate Credit Plus MULT";"score_custo";"0,38431372549019616";"3";"Q3 - Observação"
"Capitânia Premium 45";"score_custo";"0,38039215686274508";"3";"Q3 - Observação"
"BB Asset";"score_custo";"0,37647058823529411";"3";"Q3 - Observação"
"Bradesco Ultra II";"score_custo";"0,37254901960784315";"3";"Q3 - Observação"
"Novus Crédito";"score_custo";"0,35686274509803922";"3";"Q3 - Observação"
"Augme 30 Advisory";"score_custo";"0,34117647058823530";"3";"Q3 - Observação"
"Ibiuna Credit";"score_custo";"0,33333333333333337";"3";"Q3 - Observação"
"SulAmérica Crédito Ativo";"score_custo";"0,32549019607843133";"4";"Q4 - Descartado"
"BNP Paribas Match Plus 30 Advisory";"score_custo";"0,32156862745098036";"4";"Q4 - Descartado"
"XP Corporate Plus";"score_custo";"0,31372549019607843";"4";"Q4 - Descartado"
"Tríade";"score_custo";"0,27058823529411763";"4";"Q4 - Descartado"
"Western Asset Total Credit Plus";"score_custo";"0,25098039215686274";"4";"Q4 - Descartado"
"Mag High Grade Plus 30";"score_custo";"0,21176470588235294";"4";"Q4 - Descartado"
"Persevera Yield";"score_custo";"0,20784313725490194";"4";"Q4 - Descartado"
"Inter Premium";"score_custo";"0,20784313725490194";"4";"Q4 - Descartado"
"Root Capital Crédito HG Plus";"score_custo";"0,17647058823529410";"4";"Q4 - Descartado"
"XP Corporate Top";"score_custo";"0,16470588235294117";"4";"Q4 - Descartado"
"Atena Yield D30";"score_custo";"0,14509803921568629";"4";"Q4 - Descartado"
"AZ Quest Altro Advisory";"score_custo";"0,10980392156862745";"4";"Q4 - Descartado"
"JGP Crédito Advisory";"score_custo";"0,03137254901960784";"4";"Q4 - Descartado"
"Persevera Yield";"score_diferenciacao";"0,97647058823529409";"1";"Q1 - Destaque"
"Mag High Grade Plus 30";"score_diferenciacao";"0,95686274509803915";"1";"Q1 - Destaque"
"Tivio Institucional 15";"score_diferenciacao";"0,95294117647058818";"1";"Q1 - Destaque"
"Ibiuna Credit";"score_diferenciacao";"0,94901960784313721";"1";"Q1 - Destaque"
"Capitânia Premium 45";"score_diferenciacao";"0,94509803921568625";"1";"Q1 - Destaque"
"Riza Lotus Plus Advisory";"score_diferenciacao";"0,88627450980392153";"1";"Q1 - Destaque"
"Atena Yield D30";"score_diferenciacao";"0,88235294117647056";"1";"Q1 - Destaque"
"Compass Yield 30";"score_diferenciacao";"0,87843137254901971";"1";"Q1 - Destaque"
"Western Asset Total Credit Plus";"score_diferenciacao";"0,84313725490196079";"1";"Q1 - Destaque"
