"nome_plot";"bloco";"nota";"quartil_bloco";"classificacao_bloco"
"Atena Yield D30";"score_consistencia";"0,78222222222222226";"1";"Q1 - Destaque"
"BNP Paribas Match Plus 30 Advisory";"score_consistencia";"0,75111111111111106";"1";"Q1 - Destaque"
"Valora Absolute";"score_consistencia";"0,74222222222222223";"1";"Q1 - Destaque"
"Daycoval Classic 30";"score_consistencia";"0,68888888888888888";"1";"Q1 - Destaque"
"Polo Crédito Corporativo Advisory";"score_consistencia";"0,66666666666666674";"1";"Q1 - Destaque"
"Principal Claritas";"score_consistencia";"0,66666666666666674";"1";"Q1 - Destaque"
"Compass Yield 30";"score_consistencia";"0,66222222222222227";"1";"Q1 - Destaque"
"XP Corporate Top";"score_consistencia";"0,64888888888888885";"1";"Q1 - Destaque"
"Root Capital Crédito HG Plus";"score_consistencia";"0,63555555555555554";"1";"Q1 - Destaque"
"BOCOM BBM Corporate Credit Plus MULT";"score_consistencia";"0,62222222222222223";"1";"Q1 - Destaque"
"SulAmérica Crédito ESG";"score_consistencia";"0,61777777777777776";"1";"Q1 - Destaque"
"Sparta Top";"score_consistencia";"0,61777777777777776";"1";"Q1 - Destaque"
"Vinland Crédito";"score_consistencia";"0,61333333333333329";"2";"Q2 - Aprovado"
"BTG Pactual Crédito Corporativo I";"score_consistencia";"0,60888888888888892";"2";"Q2 - Aprovado"
"Integral";"score_consistencia";"0,59555555555555562";"2";"Q2 - Aprovado"
"Porto Seguro Ipê";"score_consistencia";"0,57333333333333336";"2";"Q2 - Aprovado"
"BNP Paribas Rubi";"score_consistencia";"0,56444444444444453";"2";"Q2 - Aprovado"
"Safra Vitesse";"score_consistencia";"0,54666666666666663";"2";"Q2 - Aprovado"
"SPX Seahawk Advisory";"score_consistencia";"0,52888888888888885";"2";"Q2 - Aprovado"
"Bocom BBM Corporate Credit II";"score_consistencia";"0,52444444444444449";"2";"Q2 - Aprovado"
"Iridium Titan Advisory";"score_consistencia";"0,50222222222222224";"2";"Q2 - Aprovado"
"JGP Corporate FEEDER II";"score_consistencia";"0,47111111111111115";"2";"Q2 - Aprovado"
"Plural Crédito Corporativo II";"score_consistencia";"0,46666666666666667";"2";"Q2 - Aprovado"
"Sparta Max Advisory";"score_consistencia";"0,44444444444444442";"2";"Q2 - Aprovado"
"Augme 30 Advisory";"score_consistencia";"0,43555555555555558";"3";"Q3 - Observação"
"Occam Crédito Corporativo 30";"score_consistencia";"0,40888888888888886";"3";"Q3 - Observação"
"XP Corporate Light";"score_consistencia";"0,40000000000000002";"3";"Q3 - Observação"
"XP Corporate Plus";"score_consistencia";"0,39555555555555560";"3";"Q3 - Observação"
