"nome_plot";"correlacao_media_pares";"correlacao_mediana_pares";"correlacao_maxima";"fundo_mais_correlacionado";"meses_em_comum_com_par_mais_proximo";"cluster"
"Porto Seguro Ipê";"0,769603102412423";"0,813140264923453";"0,949774428535261";"Plural Crédito Corporativo II";"79";"1"
"Selection Light";"0,756168906224813";"0,829197663667833";"0,948240200481326";"Porto Seguro Ipê";"79";"1"
"Plural Crédito Corporativo II";"0,754548561770093";"0,804516695034527";"0,949774428535261";"Porto Seguro Ipê";"79";"1"
"Daycoval Classic 30";"0,749758273618790";"0,842831577882097";"0,949081150391301";"Sparta Top";"96";"1"
"SulAmérica Crédito Ativo";"0,749261889638308";"0,817275460230535";"0,936679332076275";"Porto Seguro Ipê";"79";"1"
"Principal Claritas";"0,747496774631469";"0,785941829541872";"0,945560752963798";"JGP Corporate FEEDER II";"120";"1"
"SPX Seahawk Advisory";"0,731221704859883";"0,772222998165530";"0,945709029100236";"Sparta Top";"78";"1"
"AZ Quest Altro Advisory";"0,727458876024807";"0,764822050234445";"0,933512411011559";"Porto Seguro Ipê";"79";"1"
"Vinland Crédito 10";"0,726571002708155";"0,764847439409241";"0,909208757489989";"Daycoval Classic 30";"29";"1"
"Valora Absolute";"0,723617201040699";"0,776583303834271";"0,909140539679390";"Selection Light";"118";"1"
"Safra Polaris";"0,722753188687649";"0,757518239905808";"0,931531918286749";"Principal Claritas";"83";"1"
"XP Corporate Top";"0,717662158222963";"0,759579516123936";"0,938231946855498";"Selection Light";"118";"1"
"XP Corporate Light";"0,717593094175182";"0,770650647095042";"0,942224003125551";"Selection Light";"118";"1"
"JGP Corporate FEEDER II";"0,717543651008078";"0,752412898090552";"0,967379631320420";"JGP Crédito Advisory";"102";"1"
"Sparta Top";"0,716095979948564";"0,800838423708380";"0,981805132217547";"Sparta Max Advisory";"86";"1"
"BTG Pactual Crédito Corporativo I";"0,712817433251390";"0,777986967901783";"0,917544956951213";"AF Invest Geraes 30";"99";"1"
"Sparta Max Advisory";"0,710461777994000";"0,769837579931695";"0,981805132217547";"Sparta Top";"86";"1"
"Bradesco Ultra II";"0,699489181595473";"0,732449880969431";"0,913680017777146";"Occam Crédito Corporativo 30";"24";"1"
"Safra Vitesse";"0,696484575861400";"0,757548822333321";"0,970459172210985";"Safra Grand Vitesse";"94";"1"
"Integral";"0,695703038917952";"0,711204029607037";"0,913061565065470";"Porto Seguro Ipê";"79";"1"
"JGP Crédito Advisory";"0,693904196770469";"0,714407702709363";"0,967379631320420";"JGP Corporate FEEDER II";"102";"1"
"BNP Paribas Rubi";"0,689062349312547";"0,735751640575119";"0,972859995993885";"BNP Paribas Match Plus 30 Advisory";"39";"1"
"Safra Grand Vitesse";"0,687716378089763";"0,769689663061039";"0,970459172210985";"Safra Vitesse";"94";"1"
"AF Invest Geraes 30";"0,679046479887078";"0,736559723899587";"0,933468965120028";"Selection Light";"99";"1"
"Novus Crédito";"0,672032982661186";"0,680179023850495";"0,888324643194418";"Bocom BBM Corporate Credit II";"38";"1"
"BB Asset";"0,671589421916935";"0,699950656798409";"0,834548758482445";"Valora Absolute";"49";"1"
"Occam Crédito Corporativo 30";"0,667245736925829";"0,689170073628587";"0,913680017777146";"Bradesco Ultra II";"24";"1"
"Tríade";"0,663979873034825";"0,717565184852051";"0,889609020430959";"Bradesco Ultra II";"23";"1"
"Arx Vinson Advisory";"0,661404867978987";"0,681466732472681";"0,887422642484216";"XP Corporate Top";"59";"1"
"Inter Premium";"0,659823361804418";"0,715331366585703";"0,928350736670073";"XP Corporate Light";"104";"1"
"XP Corporate Plus";"0,657704049977469";"0,746163621815491";"0,890942098166155";"Selection Light";"118";"1"
"Bocom BBM Corporate Credit II";"0,648514221978825";"0,672504349150873";"0,891258166901900";"BOCOM BBM Corporate Credit Plus MULT";"38";"1"
"Polo Crédito Corporativo Advisory";"0,646418688876383";"0,678202701894900";"0,858474137817635";"Vinland Crédito 10";"29";"1"
"Absolute Creta Advisory";"0,639991678092036";"0,655499796552195";"0,866583472841115";"Vinland Crédito";"44";"1"
"Augme 30 Advisory";"0,632651000353977";"0,687736530845452";"0,947244902687315";"Augme 30 II";"33";"1"
"Iridium Titan Advisory";"0,624527262265138";"0,652501731800822";"0,876833002057937";"XP Corporate Top";"86";"1"
"SulAmérica Crédito ESG";"0,623062715363128";"0,626821062476008";"0,902279625734487";"Bradesco Ultra II";"24";"1"
"Root Capital Crédito HG Plus";"0,603524398892250";"0,614338739704128";"0,843082629361238";"Polo Crédito Corporativo Advisory";"54";"1"
"ARX Everest Advisory";"0,581364405838117";"0,622178301632213";"0,822531783408792";"Iridium Titan Advisory";"77";"1"
"Vinland Crédito";"0,577430666051888";"0,571380399567448";"0,866583472841115";"Absolute Creta Advisory";"44";"1"
"BNP Paribas Match Plus 30 Advisory";"0,565389889441666";"0,583907881859761";"0,972859995993885";"BNP Paribas Rubi";"39";"1"
"BOCOM BBM Corporate Credit Plus MULT";"0,558350967708497";"0,560354623487085";"0,891258166901900";"Bocom BBM Corporate Credit II";"38";"1"
"Augme 30 II";"0,557045029349907";"0,547919162589693";"0,947244902687315";"Augme 30 Advisory";"33";"1"
"Atena Yield D30";"0,545502937264888";"0,577371512452549";"0,747477097264482";"Occam Crédito Corporativo 30";"42";"1"
"Compass Yield 30";"0,541427469020392";"0,550264576176302";"0,781145169476116";"Vinland Crédito 10";"29";"1"
"Western Asset Total Credit Plus";"0,510024733350397";"0,510784330645573";"0,854947772068110";"Bradesco Ultra II";"24";"1"
"Riza Lotus Plus Advisory";"0,481386405159400";"0,424266187209105";"0,800838423708380";"Sparta Top";"56";"5"
"Capitânia Premium 45";"0,479092617101797";"0,505517018181122";"0,690475737948984";"AF Invest Geraes 30";"99";"1"
"Ibiuna Credit";"0,461663482851699";"0,470619050775417";"0,703965379752250";"Vinland Crédito 10";"29";"2"
