"nome_plot";"correlacao_media_pares";"correlacao_mediana_pares";"correlacao_maxima";"fundo_mais_correlacionado";"meses_em_comum_com_par_mais_proximo";"cluster"
"Porto Seguro Ipê";"0,783541417781303";"0,841556285059199";"0,949774428535261";"Plural Crédito Corporativo II";"79";"1"
"Selection Light";"0,771777689809434";"0,861540252092985";"0,948240200481326";"Porto Seguro Ipê";"79";"1"
"Principal Claritas";"0,764157461655489";"0,798173089047089";"0,945560752963798";"JGP Corporate FEEDER II";"120";"1"
"Plural Crédito Corporativo II";"0,760953589031682";"0,804516695034527";"0,949774428535261";"Porto Seguro Ipê";"79";"1"
"Daycoval Classic 30";"0,760423816065598";"0,843100017539214";"0,949081150391301";"Sparta Top";"96";"1"
"SulAmérica Crédito Ativo";"0,757353489858436";"0,818852575145685";"0,936679332076275";"Porto Seguro Ipê";"79";"1"
"AZ Quest Altro Advisory";"0,752040251545728";"0,797239148595322";"0,933512411011559";"Porto Seguro Ipê";"79";"1"
"Valora Absolute";"0,742606100499895";"0,790827421804504";"0,909140539679390";"Selection Light";"118";"1"
"SPX Seahawk Advisory";"0,742355544002515";"0,777986967901783";"0,945709029100236";"Sparta Top";"78";"1"
"JGP Corporate FEEDER II";"0,738794123834975";"0,775317775511588";"0,967379631320420";"JGP Crédito Advisory";"102";"1"
"Sparta Top";"0,735947282110311";"0,813183583173725";"0,981805132217547";"Sparta Max Advisory";"86";"1"
"Sparta Max Advisory";"0,731114470220130";"0,811011821169029";"0,981805132217547";"Sparta Top";"86";"1"
"Safra Polaris";"0,729792614198809";"0,757518239905808";"0,931531918286749";"Principal Claritas";"83";"1"
"XP Corporate Top";"0,729185153876523";"0,770405879453253";"0,938231946855498";"Selection Light";"118";"1"
"XP Corporate Light";"0,726441360014458";"0,802668493665062";"0,942224003125551";"Selection Light";"118";"1"
"BTG Pactual Crédito Corporativo I";"0,720194456394844";"0,777986967901783";"0,917544956951213";"AF Invest Geraes 30";"99";"1"
"JGP Crédito Advisory";"0,709777577824981";"0,728291909108704";"0,967379631320420";"JGP Corporate FEEDER II";"102";"1"
"BNP Paribas Rubi";"0,709753606851130";"0,739293366690782";"0,972859995993885";"BNP Paribas Match Plus 30 Advisory";"39";"1"
"Safra Vitesse";"0,702332210988921";"0,757548822333321";"0,970459172210985";"Safra Grand Vitesse";"94";"1"
"AF Invest Geraes 30";"0,702048257297598";"0,779485856669727";"0,933468965120028";"Selection Light";"99";"1"
"Integral";"0,699510452428344";"0,711204029607037";"0,913061565065470";"Porto Seguro Ipê";"79";"1"
"Safra Grand Vitesse";"0,696972060808115";"0,769689663061039";"0,970459172210985";"Safra Vitesse";"94";"1"
"Inter Premium";"0,688451093328011";"0,773010658608198";"0,928350736670073";"XP Corporate Light";"104";"1"
"XP Corporate Plus";"0,681456195991835";"0,773780576250607";"0,890942098166155";"Selection Light";"118";"1"
"Arx Vinson Advisory";"0,675031858991690";"0,707466707495024";"0,887422642484216";"XP Corporate Top";"59";"1"
"Novus Crédito";"0,674881797172606";"0,680179023850495";"0,888324643194418";"Bocom BBM Corporate Credit II";"38";"1"
"BB Asset";"0,673918479490469";"0,699950656798409";"0,834548758482445";"Valora Absolute";"49";"1"
"Occam Crédito Corporativo 30";"0,658204964595470";"0,672312762428955";"0,882462592386647";"Plural Crédito Corporativo II";"42";"1"
"Bocom BBM Corporate Credit II";"0,650074704437601";"0,672504349150873";"0,891258166901900";"BOCOM BBM Corporate Credit Plus MULT";"38";"1"
"Augme 30 Advisory";"0,648000089775269";"0,707044592874921";"0,912069506040159";"Sparta Max Advisory";"85";"1"
"Iridium Titan Advisory";"0,646345709622012";"0,675335842427371";"0,876833002057937";"XP Corporate Top";"86";"1"
"Polo Crédito Corporativo Advisory";"0,642378248990600";"0,678202701894900";"0,847714939203756";"Absolute Creta Advisory";"44";"1"
"Absolute Creta Advisory";"0,637954677559243";"0,650281515604567";"0,866583472841115";"Vinland Crédito";"44";"1"
"SulAmérica Crédito ESG";"0,610509016906555";"0,615510236790810";"0,882342771461098";"SulAmérica Crédito Ativo";"66";"1"
"ARX Everest Advisory";"0,598836645423030";"0,648359149405880";"0,822531783408792";"Iridium Titan Advisory";"77";"1"
"Root Capital Crédito HG Plus";"0,590666290559200";"0,605331708812474";"0,843082629361238";"Polo Crédito Corporativo Advisory";"54";"1"
"BNP Paribas Match Plus 30 Advisory";"0,575024059086353";"0,595117962951174";"0,972859995993885";"BNP Paribas Rubi";"39";"1"
"BOCOM BBM Corporate Credit Plus MULT";"0,570013379400933";"0,568476320908953";"0,891258166901900";"Bocom BBM Corporate Credit II";"38";"1"
"Vinland Crédito";"0,565550500172169";"0,569112427322542";"0,866583472841115";"Absolute Creta Advisory";"44";"1"
"Atena Yield D30";"0,538843088068513";"0,575677838846471";"0,747477097264482";"Occam Crédito Corporativo 30";"42";"1"
"Compass Yield 30";"0,536249639443069";"0,548754709812419";"0,764252729472862";"Plural Crédito Corporativo II";"73";"1"
"Capitânia Premium 45";"0,503520731690277";"0,512910954225394";"0,690475737948984";"AF Invest Geraes 30";"99";"2"
"Riza Lotus Plus Advisory";"0,485486306427950";"0,424266187209105";"0,800838423708380";"Sparta Top";"56";"5"
"Ibiuna Credit";"0,459658064036292";"0,470619050775417";"0,574161529260813";"JGP Crédito Advisory";"71";"3"
"Mag High Grade Plus 30";"0,274384663707503";"0,281093135211874";"0,587825130302255";"Principal Claritas";"37";"4"
"Tivio Institucional 15";"0,263406239927890";"0,205873291723844";"0,793349633121120";"Arx Vinson Advisory";"59";"5"
