"nome_xlsx";"nome_plot";"nome_quantum";"taxa_adm_aa";"primeira_data";"ultima_data";"n_meses";"excesso_cdi_aa";"hit_rate_mensal";"hit_rate_6m";"n_janelas_36m";"hit_rate_36m";"volatilidade_excesso_aa";"pior_mes";"media_tres_piores_meses";"autocorrelacao_lag1";"max_drawdown_excesso";"meses_para_recuperar";"cluster";"correlacao_media_pares";"correlacao_mediana_pares";"correlacao_maxima";"fundo_mais_correlacionado";"meses_em_comum_com_par_mais_proximo";"benchmark_menor_tracking_error";"menor_tracking_error_aa";"benchmark_maior_correlacao";"maior_correlacao";"score_retorno";"score_consistencia";"score_risco";"score_taxa";"eficiencia_custo";"score_eficiencia";"score_custo";"score_diferenciacao";"score_preliminar";"quartil_score";"classificacao";"red_flag";"elegivel_shortlist"
"Compass Yield 30 FIF RF CP LP RL";"Compass Yield 30";"COMPASS YIELD 30 FIF RENDA FIXA";"0,0060";"2020-06-01";"2026-06-01";"73";"0,020067791129959600";"0,835616438356164";"0,867647058823529";"38";"1,000000000000000";"0,00978327244833325";"-0,00522398276774716";"-0,00453999852440271";"0,45615878122608611";"-0,00708576930528970";"7";"1";"0,536249639443069";"0,548754709812419";"0,764252729472862";"Plural Crédito Corporativo II";"73";"IDA-DI";"0,01026778745060310";"IDA-DI";"0,650540847550394";"0,9777777777777777";"0,66222222222222227";"0,80888888888888888";"0,3111111111111111";"3,3446318549932665";"1,0000000000000000";"0,6555555555555556";"0,8999999999999999";"0,776777777777778";"1";"Q1 - Destaque";NA;TRUE
"SulAmérica Crédito ESG FIRF CP LP IS";"SulAmérica Crédito ESG";"SULAMÉRICA CRÉDITO ESG INVEST SUSTENTÁVEL RESP LIMITADA FIF RENDA FIXA CRÉDITO PRIVADO LP";"0,0060";"2021-01-01";"2026-06-01";"66";"0,015395935788579562";"0,833333333333333";"0,836065573770492";"31";"1,000000000000000";"0,00683094284256867";"-0,00510232869216443";"-0,00384317681797985";"0,40139497290151666";"-0,00917377816866249";"4";"1";"0,610509016906555";"0,615510236790810";"0,882342771461098";"SulAmérica Crédito Ativo";"66";"IDA-DI";"0,00952358269300273";"IDA-DI";"0,673897923898873";"0,9555555555555556";"0,61777777777777776";"0,86444444444444446";"0,3111111111111111";"2,5659892980965937";"0,9555555555555556";"0,6333333333333333";"0,7111111111111110";"0,747888888888889";"1";"Q1 - Destaque";NA;TRUE
"Polo Crédito Corporativo Advisory FIC FIF RF CP LP RL";"Polo Crédito Corporativo Advisory";"POLO CRÉDITO CORPORATIVO ADVISORY RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO LP";"0,0050";"2018-11-01";"2026-06-01";"92";"0,011765055868546259";"0,836956521739130";"0,862068965517241";"57";"1,000000000000000";"0,00990996600579074";"-0,01400618306287527";"-0,01009771699113056";"0,33197466198188064";"-0,02456709310827299";"10";"1";"0,642378248990600";"0,678202701894900";"0,847714939203756";"Absolute Creta Advisory";"44";"IRF-M 1";"0,01154278493373314";"IDA-DI";"0,598169791057081";"0,8222222222222222";"0,66666666666666674";"0,69333333333333325";"0,6000000000000000";"2,3530111737092518";"0,9111111111111111";"0,7555555555555555";"0,7333333333333334";"0,732000000000000";"1";"Q1 - Destaque";NA;TRUE
"Vinland Crédito Multimercado FIC FI CP";"Vinland Crédito";"VINLAND CRÉDITO RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0070";"2022-11-01";"2026-06-01";"44";"0,013995034858907296";"0,818181818181818";"0,871794871794872";"9";"1,000000000000000";"0,00738268885026755";"-0,00413760620256065";"-0,00406485000057355";"0,47060948034567995";"-0,01239842739190644";NA;"1";"0,565550500172169";"0,569112427322542";"0,866583472841115";"Absolute Creta Advisory";"44";"IRF-M 1";"0,00744930674780681";"IDA-DI";"0,610542732315133";"0,9111111111111111";"0,61333333333333329";"0,83333333333333337";"0,2000000000000000";"1,9992906941296138";"0,8222222222222222";"0,5111111111111111";"0,7888888888888889";"0,708888888888889";"1";"Q1 - Destaque";NA;TRUE
"Bocom BBM Corporate Credit II FIF RF CP RL";"Bocom BBM Corporate Credit II";"BOCOM BBM CORPORATE CREDIT II RESP LIMITADA FIF CIC RENDA FIXA CRÉDITO PRIVADO";"0,0060";"2023-05-01";"2026-06-01";"38";"0,010919685845205196";"0,763157894736842";"0,878787878787879";"3";"1,000000000000000";"0,00452052466000752";"-0,00320344262184469";"-0,00174917461564080";"0,14628765270986316";"-0,00320344262184458";"5";"1";"0,650074704437601";"0,672504349150873";"0,891258166901900";"BOCOM BBM Corporate Credit Plus MULT";"38";"IRF-M 1";"0,00524557593136886";"IDA-DI";"0,804408533822654";"0,7333333333333333";"0,52444444444444449";"0,97333333333333327";"0,3111111111111111";"1,8199476408675326";"0,7333333333333333";"0,5222222222222221";"0,5888888888888889";"0,661888888888889";"1";"Q1 - Destaque";NA;TRUE
"Root Capital Crédito HG Plus FIC de FIF Multimercado CP RL";"Root Capital Crédito HG Plus";"ROOT CAPITAL CRÉDITO HG PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0104";"2022-01-01";"2026-06-01";"54";"0,012677856477199656";"0,814814814814815";"0,918367346938776";"19";"1,000000000000000";"0,00421396238101507";"-0,00325902193672267";"-0,00186709629809882";"0,41487659751613587";"-0,00524310868892264";NA;"1";"0,590666290559200";"0,605331708812474";"0,843082629361238";"Polo Crédito Corporativo Advisory";"54";"IRF-M 1";"0,00492830287594014";"IDA-DI";"0,647665853415281";"0,8666666666666667";"0,63555555555555554";"0,95333333333333337";"0,0222222222222222";"1,2190246612691977";"0,4000000000000000";"0,2111111111111111";"0,7888888888888890";"0,654555555555556";"1";"Q1 - Destaque";NA;TRUE
"BOCOM BBM Corporate Credit Plus FIF CIC MULT CP RL";"BOCOM BBM Corporate Credit Plus MULT";"BOCOM BBM CORPORATE CREDIT PLUS RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0090";"2020-01-01";"2026-06-01";"78";"0,020897143351777281";"0,807692307692308";"0,917808219178082";"43";"1,000000000000000";"0,01534038744916271";"-0,02560232689190589";"-0,01078113999675397";"0,00665175594300573";"-0,02560232689190589";"3";"1";"0,570013379400933";"0,568476320908953";"0,891258166901900";"Bocom BBM Corporate Credit II";"38";"IDA-DI";"0,01571081952147311";"IDA-DI";"0,806745446522775";"1,0000000000000000";"0,62222222222222223";"0,55555555555555558";"0,0444444444444444";"2,3219048168641421";"0,8888888888888888";"0,4666666666666666";"0,6888888888888889";"0,652222222222222";"1";"Q1 - Destaque";NA;TRUE
"Atena Yield D30 FIC de FIF RF CP RL";"Atena Yield D30";"ATENA YIELD D30 FIF CIC RENDA FIXA";"0,0085";"2019-01-01";"2026-06-01";"90";"0,008660814323839139";"0,888888888888889";"0,894117647058824";"55";"1,000000000000000";"0,00296190132207902";"-0,00279761889252850";"-0,00236436541681366";"0,17447493996528346";"-0,00453894040123348";"6";"1";"0,538843088068513";"0,575677838846471";"0,747477097264482";"Occam Crédito Corporativo 30";"42";"IRF-M 1";"0,00552774174387785";"IDA-DI";"0,554818336408700";"0,5555555555555556";"0,78222222222222226";"0,96444444444444444";"0,0666666666666667";"1,0189193322163692";"0,2666666666666667";"0,1666666666666667";"0,9000000000000000";"0,631222222222222";"1";"Q1 - Destaque";NA;TRUE
"Ibiuna Credit FIF CIC Multimercado CP RL";"Ibiuna Credit";"IBIUNA CREDIT RESP LIMITADA FIF CIC MULTIMERCADO CRÉDITO PRIVADO";"0,0076";"2020-08-01";"2026-06-01";"71";"0,013137858960022175";"0,690140845070423";"0,787878787878788";"36";"1,000000000000000";"0,00994063827286379";"-0,00667417416501248";"-0,00596429805390216";"0,29098021538247026";"-0,02058244479771210";"15";"3";"0,459658064036292";"0,470619050775417";"0,574161529260813";"JGP Crédito Advisory";"71";"IDA-DI";"0,01104359036807582";"IDA-DI";"0,533667984195177";"0,8888888888888888";"0,34666666666666668";"0,72222222222222221";"0,1111111111111111";"1,7286656526344968";"0,6666666666666666";"0,3888888888888888";"0,9777777777777779";"0,603888888888889";"1";"Q1 - Destaque";NA;TRUE
"Absolute Creta Advisory FIF FIRF";"Absolute Creta Advisory";"ABSOLUTE CRETA ADVISORY FIF CIC RENDA FIXA";"0,0058";"2022-11-01";"2026-06-01";"44";"0,010273041654651482";"0,704545454545455";"0,743589743589744";"9";"1,000000000000000";"0,00838424260147245";"-0,00615388015032925";"-0,00483715175763725";"0,31819646430123077";"-0,01406972434535125";NA;"1";"0,637954677559243";"0,650281515604567";"0,866583472841115";"Vinland Crédito";"44";"IRF-M 1";"0,00846681845377618";"IDA-DI";"0,722460798677311";"0,6666666666666666";"0,31111111111111112";"0,79777777777777770";"0,5555555555555556";"1,7712140783881867";"0,7111111111111111";"0,6333333333333333";"0,7222222222222222";"0,601222222222222";"1";"Q1 - Destaque";NA;TRUE
